index;origin;destination;slots;max_length
1;3;12;3;3000.000000
2;3;5;3;3000.000000
3;12;14;3;3000.000000
4;5;14;3;3000.000000
5;3;17;3;3000.000000
6;14;17;3;3000.000000
7;3;13;3;3000.000000
8;13;14;3;3000.000000
9;2;12;3;3000.000000
10;2;5;5;1500.000000
11;3;6;3;3000.000000
12;4;17;3;3000.000000
13;5;16;3;3000.000000
14;5;8;3;3000.000000
15;6;14;3;3000.000000
16;2;17;3;3000.000000
17;4;12;5;1500.000000
18;4;12;3;3000.000000
19;14;15;5;1500.000000
20;14;15;5;1500.000000
21;4;5;5;1500.000000
22;4;13;3;3000.000000
23;4;10;3;3000.000000
24;4;9;3;3000.000000
25;5;10;5;1500.000000
26;2;13;3;3000.000000
27;4;8;3;3000.000000
28;1;15;3;3000.000000
29;7;10;3;3000.000000
30;4;15;5;1500.000000
31;4;15;5;1500.000000
32;4;15;5;1500.000000
33;2;6;3;3000.000000
34;4;16;3;3000.000000
35;7;8;3;3000.000000
36;2;15;5;1500.000000
37;2;15;5;1500.000000
38;2;15;5;1500.000000
39;2;15;5;1500.000000
40;7;17;3;3000.000000
41;12;16;3;3000.000000
42;8;12;3;3000.000000
43;3;10;3;3000.000000
44;7;16;5;1500.000000
45;7;12;3;3000.000000
46;5;7;5;1500.000000
47;4;6;3;3000.000000
48;10;14;3;3000.000000
49;7;13;3;3000.000000
50;3;8;3;3000.000000
51;4;14;3;3000.000000
52;16;17;3;3000.000000
53;10;12;6;600.000000
54;6;10;3;3000.000000
55;3;15;6;600.000000
56;3;16;3;3000.000000
57;5;15;6;600.000000
58;7;14;3;3000.000000
59;5;13;3;3000.000000
60;14;16;3;3000.000000
61;7;15;6;600.000000
62;7;15;6;600.000000
63;7;15;6;600.000000
64;13;16;3;3000.000000
65;8;13;3;3000.000000
66;10;17;3;3000.000000
67;2;10;5;1500.000000
68;5;17;3;3000.000000
69;11;15;3;3000.000000
70;3;4;3;3000.000000
71;6;13;3;3000.000000
72;2;4;5;1500.000000
73;6;7;6;600.000000
74;15;16;6;600.000000
75;10;13;3;3000.000000
76;2;8;3;3000.000000
77;6;17;3;3000.000000
78;8;15;5;1500.000000
79;2;7;5;1500.000000
80;5;12;3;3000.000000
81;2;16;3;3000.000000
82;9;15;3;3000.000000
83;12;15;6;600.000000
84;12;15;5;1500.000000
85;6;15;6;600.000000
86;6;15;3;3000.000000
87;10;15;6;600.000000
88;10;15;6;600.000000
89;10;15;6;600.000000
90;6;12;3;3000.000000
91;3;7;3;3000.000000
92;5;6;5;1500.000000
93;4;7;6;600.000000
94;2;3;3;3000.000000
95;1;14;3;3000.000000
96;5;11;3;3000.000000
97;15;17;6;600.000000
98;15;17;6;600.000000
99;15;17;6;600.000000
100;15;17;6;600.000000
101;15;17;6;600.000000
102;15;17;6;600.000000
103;12;13;5;1500.000000
104;2;14;5;1500.000000
105;3;14;3;3000.000000
106;10;16;3;3000.000000
107;13;15;6;600.000000
108;12;17;3;3000.000000
109;8;10;3;3000.000000
110;13;17;3;3000.000000
111;8;16;3;3000.000000
112;9;14;3;3000.000000
113;1;15;3;3000.000000
114;9;14;3;3000.000000
115;13;12;3;3000.000000
116;16;10;3;3000.000000
117;11;9;3;3000.000000
118;13;3;3;3000.000000
119;7;1;3;3000.000000
120;4;13;3;3000.000000
121;15;9;3;3000.000000
122;7;2;3;3000.000000
123;8;16;3;3000.000000
124;10;5;3;3000.000000
125;1;2;3;3000.000000
126;11;17;3;3000.000000
127;2;8;3;3000.000000
128;9;16;3;3000.000000
129;7;5;3;3000.000000
130;11;1;3;3000.000000
131;11;2;3;3000.000000
132;12;10;3;3000.000000
133;5;7;3;3000.000000
134;13;8;3;3000.000000
135;10;1;3;3000.000000
136;16;17;3;3000.000000
137;3;7;3;3000.000000
138;6;12;3;3000.000000
139;2;6;3;3000.000000
140;5;13;3;3000.000000
141;5;6;3;3000.000000
142;3;13;3;3000.000000
143;12;9;3;3000.000000
144;8;13;3;3000.000000
145;17;9;3;3000.000000
146;14;9;3;3000.000000
147;3;7;3;3000.000000
148;14;7;3;3000.000000
149;4;17;3;3000.000000
150;14;1;3;3000.000000
151;4;3;3;3000.000000
152;1;9;3;3000.000000
153;14;2;3;3000.000000
154;14;9;3;3000.000000
155;14;9;3;3000.000000
156;14;7;3;3000.000000
157;13;16;3;3000.000000
158;6;11;3;3000.000000
159;11;13;3;3000.000000
160;3;8;3;3000.000000
161;5;13;3;3000.000000
162;5;9;3;3000.000000
163;3;16;3;3000.000000
164;8;7;3;3000.000000
165;12;8;3;3000.000000
166;10;15;3;3000.000000
167;1;14;3;3000.000000
168;6;3;3;3000.000000
169;10;14;3;3000.000000
170;7;10;3;3000.000000
171;2;5;3;3000.000000
172;13;17;3;3000.000000
173;10;6;3;3000.000000
174;2;14;3;3000.000000
175;16;17;3;3000.000000
176;1;12;3;3000.000000
177;12;17;3;3000.000000
178;14;10;3;3000.000000
179;7;11;3;3000.000000
180;13;6;3;3000.000000
181;4;10;3;3000.000000
182;14;4;3;3000.000000
183;7;2;3;3000.000000
184;14;7;3;3000.000000
185;16;4;3;3000.000000
186;7;8;3;3000.000000
187;8;10;3;3000.000000
188;7;8;3;3000.000000
189;16;4;3;3000.000000
190;14;15;3;3000.000000
191;12;16;3;3000.000000
192;17;2;3;3000.000000
193;12;10;3;3000.000000
194;9;14;3;3000.000000
195;5;17;3;3000.000000
196;5;1;3;3000.000000
197;11;2;3;3000.000000
198;11;16;3;3000.000000
199;17;2;3;3000.000000
200;14;7;3;3000.000000
201;17;7;3;3000.000000
202;4;15;3;3000.000000
203;13;11;3;3000.000000
204;10;17;3;3000.000000
205;16;12;3;3000.000000
206;16;14;3;3000.000000
207;1;8;3;3000.000000
208;13;14;3;3000.000000
209;3;8;3;3000.000000
210;13;15;3;3000.000000
211;8;15;3;3000.000000
212;8;9;3;3000.000000
213;13;7;3;3000.000000
214;8;5;3;3000.000000
215;11;5;3;3000.000000
216;12;17;3;3000.000000
217;9;17;3;3000.000000
218;12;2;3;3000.000000
219;17;12;3;3000.000000
220;17;12;3;3000.000000
221;10;15;3;3000.000000
222;8;1;3;3000.000000
223;13;11;3;3000.000000
224;15;6;3;3000.000000
225;1;4;3;3000.000000
226;16;15;3;3000.000000
227;11;8;3;3000.000000
228;1;8;3;3000.000000
229;6;13;3;3000.000000
230;1;11;3;3000.000000
231;15;9;3;3000.000000
232;2;15;3;3000.000000
233;11;5;3;3000.000000
234;5;10;3;3000.000000
235;16;5;3;3000.000000
236;16;14;3;3000.000000
237;6;2;3;3000.000000
238;7;11;3;3000.000000
239;16;15;3;3000.000000
240;11;2;3;3000.000000
241;14;17;3;3000.000000
242;3;12;3;3000.000000
243;8;1;3;3000.000000
244;17;4;3;3000.000000
245;9;10;3;3000.000000
246;9;17;3;3000.000000
247;11;14;3;3000.000000
248;11;12;3;3000.000000
249;2;6;3;3000.000000
250;13;17;3;3000.000000
251;2;11;3;3000.000000
252;5;15;3;3000.000000
253;3;2;3;3000.000000
254;8;1;3;3000.000000
255;17;1;3;3000.000000
256;10;4;3;3000.000000
257;17;3;3;3000.000000
258;15;8;3;3000.000000
259;3;14;3;3000.000000
260;2;3;3;3000.000000
261;7;10;3;3000.000000
262;2;8;3;3000.000000
263;15;3;3;3000.000000
264;3;16;3;3000.000000
265;17;15;3;3000.000000
266;6;9;3;3000.000000
267;16;10;3;3000.000000
268;6;9;3;3000.000000
269;12;13;3;3000.000000
270;10;2;3;3000.000000
271;4;10;3;3000.000000
