 Slice-Edge ;e_1;e_2;e_3;e_4;e_5;e_6;e_7;e_8;e_9;e_10;e_11;e_12;e_13;e_14;e_15;e_16;e_17;e_18;e_19;e_20;e_21;e_22;e_23;e_24;e_25;
s_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;
s_2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;
s_3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;
s_4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
s_5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
s_6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
s_7;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;
s_8;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;
s_9;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;
s_10;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;
s_11;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;
s_12;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;
s_13;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;
s_14;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;
s_15;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;
s_16;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;
s_17;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;
s_18;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;
s_19;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;
s_20;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;
s_21;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;
s_22;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;
s_23;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;
s_24;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;
s_25;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;
s_26;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;
s_27;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;
s_28;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;
s_29;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;
s_30;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;1;0;1;
s_31;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;
s_32;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;
s_33;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;
s_34;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;
s_35;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;
s_36;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;
s_37;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;
s_38;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;
s_39;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;
s_40;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;0;0;1;0;1;
s_41;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;0;0;1;0;1;
s_42;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;0;0;1;0;1;
s_43;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;
s_44;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;
s_45;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;
s_46;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;
s_47;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;
s_48;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;
s_49;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;
s_50;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;
s_51;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;
s_52;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;
s_53;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;
s_54;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;
s_55;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;
s_56;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;
s_57;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;
s_58;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;
s_59;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;
s_60;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;
s_61;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
s_62;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
s_63;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
s_64;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;
s_65;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;
s_66;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;
s_67;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;
s_68;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;
s_69;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;
s_70;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
s_71;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
s_72;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;
s_73;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;
s_74;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;
s_75;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_76;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_77;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_78;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_79;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_80;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_81;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_82;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_83;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_84;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_85;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_86;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_87;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
s_88;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;
s_89;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;
s_90;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;
s_91;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;
s_92;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;
s_93;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;
s_94;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;
s_95;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;
s_96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
s_97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
s_98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
