Var1;Var2;Var3;Var4;Var5
1;6;2;3;3000
2;7;5;6;600
3;1;7;3;3000
4;3;6;3;3000
5;6;9;5;1500
6;2;3;3;3000
7;2;9;5;1500
8;2;8;5;1500
9;6;1;5;1500
10;6;1;5;1500
11;3;6;3;3000
12;4;1;5;1500
13;4;1;5;1500
14;1;9;5;1500
15;1;9;5;1500
16;6;7;3;3000
17;2;1;3;3000
18;8;2;3;3000
19;5;1;5;1500
20;2;5;3;3000
21;4;5;3;3000
22;3;2;5;1500
23;8;3;3;3000
24;7;4;6;600
25;6;4;3;3000
26;5;1;3;3000
27;3;2;5;1500
28;2;3;5;1500
29;5;9;5;1500
30;2;9;3;3000
31;6;5;5;1500
32;3;1;3;3000
33;9;3;5;1500
34;9;3;5;1500
35;9;2;5;1500
36;9;2;5;1500
37;8;7;3;3000
38;4;2;5;1500
39;2;5;5;1500
40;2;5;5;1500
41;4;2;3;3000
42;3;7;3;3000
43;4;9;5;1500
44;5;8;5;1500
45;4;9;5;1500
46;6;9;3;3000
47;3;6;5;1500
48;2;8;5;1500
49;2;8;5;1500
50;5;2;3;3000
51;3;8;5;1500
52;5;8;6;600
53;8;2;5;1500
54;8;2;5;1500
55;8;5;3;3000
56;3;5;5;1500
57;4;7;5;1500
58;6;9;5;1500
59;8;7;5;1500
60;7;1;3;3000
61;6;9;3;3000
62;9;8;6;600
63;4;5;3;3000
64;3;1;3;3000
65;5;7;3;3000
66;5;9;5;1500
67;5;4;5;1500
68;2;7;5;1500
69;2;7;5;1500
70;9;6;3;3000
71;4;7;3;3000
72;4;6;3;3000
73;9;3;5;1500
74;8;7;5;1500
75;2;7;3;3000
76;3;4;3;3000
77;8;1;3;3000
78;2;8;5;1500
79;2;8;5;1500
80;4;1;5;1500
81;4;1;5;1500
82;9;8;6;600
83;5;8;3;3000
84;2;6;5;1500
85;2;6;5;1500
86;6;8;5;1500
87;6;2;3;3000
88;4;8;5;1500
89;4;8;5;1500
90;8;3;5;1500
91;7;5;6;600
92;8;5;5;1500
93;9;4;5;1500
94;9;4;5;1500
95;9;6;3;3000
96;2;9;3;3000
97;9;6;5;1500
98;7;1;5;1500
99;7;1;5;1500
100;6;3;5;1500
101;3;4;3;3000
102;2;3;3;3000
103;1;8;3;3000
104;6;2;5;1500
105;1;5;3;3000
106;7;8;6;600
107;1;5;5;1500
108;1;5;5;1500
109;5;6;3;3000
110;8;2;5;1500
111;3;8;5;1500
112;3;8;5;1500
113;5;8;6;600
114;5;8;5;1500
115;2;8;5;1500
116;4;6;3;3000
117;5;8;3;3000
118;3;1;6;600
119;2;3;3;3000
120;7;4;6;600
121;5;4;5;1500
122;1;3;5;1500
123;7;6;6;600
124;6;9;5;1500
125;6;9;6;600
126;5;9;5;1500
127;7;1;3;3000
128;4;6;6;600
129;3;5;5;1500
130;6;1;5;1500
131;7;3;5;1500
132;2;9;5;1500
133;2;7;5;1500
134;2;7;5;1500
135;5;7;3;3000
136;2;8;3;3000
137;6;8;6;600
138;6;8;5;1500
139;4;8;5;1500
140;4;8;5;1500
141;2;7;3;3000
142;8;6;5;1500
143;4;6;3;3000
144;4;5;3;3000
145;5;1;5;1500
146;5;1;5;1500
147;5;9;3;3000
148;6;4;3;3000
149;4;7;6;600
150;3;4;5;1500
151;7;5;3;3000
152;9;6;3;3000
153;7;4;6;600
154;8;2;5;1500
155;8;2;5;1500
156;8;4;5;1500
157;8;4;5;1500
158;9;1;5;1500
159;9;1;5;1500
160;9;7;6;600
161;4;3;5;1500
162;4;3;5;1500
163;8;7;3;3000
164;4;3;5;1500
165;4;3;5;1500
166;7;2;5;1500
167;9;1;3;3000
168;1;6;3;3000
169;7;9;6;600
170;1;3;5;1500
171;3;8;5;1500
172;3;8;5;1500
173;6;8;3;3000
174;3;7;3;3000
175;1;3;5;1500
176;1;6;3;3000
177;6;9;3;3000
178;9;1;3;3000
179;9;7;5;1500
180;2;1;6;600
181;4;6;5;1500
182;6;1;3;3000
183;9;8;5;1500
184;1;4;5;1500
185;1;2;5;1500
186;5;9;5;1500
187;5;9;5;1500
188;2;3;3;3000
189;5;8;6;600
190;9;7;3;3000
191;5;7;3;3000
192;3;1;3;3000
193;2;5;3;3000
194;3;2;6;600
195;4;3;5;1500
196;1;4;5;1500
197;7;8;3;3000
198;8;9;6;600
199;3;6;3;3000
200;2;3;6;600
201;8;4;3;3000
202;5;4;6;600
203;1;9;5;1500
204;1;9;5;1500
205;1;5;3;3000
206;1;3;6;600
207;5;3;5;1500
208;9;2;3;3000
209;6;5;3;3000
210;2;4;5;1500
211;2;8;5;1500
212;2;8;5;1500
213;9;3;5;1500
214;5;1;5;1500
215;3;7;3;3000
216;3;4;5;1500
217;3;4;5;1500
218;2;9;3;3000
219;4;9;5;1500
220;4;9;5;1500
221;8;4;5;1500
222;8;4;5;1500
223;2;1;3;3000
224;7;6;6;600
225;5;2;5;1500
226;2;6;3;3000
227;1;3;3;3000
228;6;9;5;1500
229;3;6;5;1500
230;5;7;3;3000
231;8;6;3;3000
232;3;2;6;600
233;2;5;3;3000
234;7;6;6;600
235;2;9;3;3000
236;9;4;5;1500
237;9;4;5;1500
238;9;5;3;3000
239;2;6;5;1500
240;5;2;3;3000
241;6;8;5;1500
242;2;8;5;1500
243;9;8;5;1500
244;8;3;5;1500
245;8;3;5;1500
246;1;6;5;1500
247;1;4;5;1500
248;1;4;5;1500
249;8;4;5;1500
250;8;4;5;1500
251;9;2;3;3000
252;6;7;6;600
253;6;2;3;3000
254;1;8;5;1500
255;1;8;5;1500
256;3;8;5;1500
257;4;2;6;600
258;5;3;3;3000
259;5;7;5;1500
260;3;8;5;1500
261;8;9;6;600
262;6;9;3;3000
263;9;3;5;1500
264;9;3;5;1500
265;5;9;5;1500
266;4;7;5;1500
267;6;4;6;600
268;7;9;5;1500
269;7;8;5;1500
270;4;3;5;1500
271;2;3;5;1500
272;8;3;5;1500
273;1;7;5;1500
274;9;7;5;1500
275;7;5;6;600
276;8;9;6;600
277;1;5;3;3000
278;1;6;5;1500
279;1;6;5;1500
280;2;7;3;3000
281;6;2;5;1500
282;4;5;3;3000
283;2;7;5;1500
284;2;7;5;1500
285;1;5;5;1500
286;8;9;6;600
287;7;9;3;3000
288;1;9;5;1500
289;1;9;5;1500
290;6;7;5;1500
291;5;3;5;1500
292;8;3;5;1500
293;8;3;5;1500
294;7;1;5;1500
295;7;1;5;1500
296;3;6;3;3000
297;1;8;5;1500
298;1;8;5;1500
299;8;7;3;3000
300;7;9;3;3000
301;1;8;5;1500
302;3;7;5;1500
303;3;7;5;1500
304;7;4;5;1500
305;8;9;5;1500
306;4;5;3;3000
307;1;9;5;1500
308;1;9;5;1500
309;7;2;5;1500
310;4;1;5;1500
311;4;1;5;1500
312;9;2;5;1500
313;9;2;5;1500
314;4;8;3;3000
315;1;3;6;600
316;1;8;3;3000
317;8;6;6;600
318;9;6;6;600
319;8;6;6;600
320;8;1;3;3000
321;6;2;5;1500
322;6;2;5;1500
323;6;2;5;1500
324;6;2;5;1500
325;5;3;3;3000
326;1;2;6;600
327;7;6;3;3000
328;5;1;5;1500
329;5;1;5;1500
330;3;2;6;600
331;1;4;3;3000
332;2;3;6;600
333;1;6;3;3000
334;4;7;3;3000
335;2;4;6;600
336;1;7;3;3000
337;2;7;5;1500
338;6;8;6;600
339;5;4;3;3000
340;1;8;5;1500
341;1;7;3;3000
342;1;3;5;1500
343;2;1;6;600
344;8;1;5;1500
345;8;1;5;1500
346;2;7;3;3000
347;2;9;5;1500
348;2;9;5;1500
349;2;8;3;3000
350;4;7;3;3000
351;8;9;6;600
352;7;2;5;1500
353;9;7;6;600
354;3;4;5;1500
355;4;5;3;3000
356;6;9;6;600
357;7;3;5;1500
358;9;3;5;1500
359;9;3;5;1500
360;8;5;6;600
361;5;9;5;1500
362;5;9;5;1500
363;1;7;3;3000
364;8;4;5;1500
365;8;4;5;1500
366;5;2;3;3000
367;9;3;5;1500
368;5;3;3;3000
369;2;4;3;3000
370;7;3;5;1500
371;7;3;5;1500
372;4;3;5;1500
373;4;3;5;1500
374;1;9;5;1500
375;1;9;5;1500
376;3;5;5;1500
377;2;4;3;3000
378;8;6;6;600
379;4;2;3;3000
380;6;4;5;1500
381;8;5;6;600
382;8;3;3;3000
383;4;8;3;3000
384;3;8;5;1500
385;6;5;3;3000
386;8;2;3;3000
387;3;2;6;600
388;4;6;3;3000
389;4;6;3;3000
