index;source;destination;slots;max_length
1;3;4;5;1500
2;2;5;3;3000
3;8;4;3;3000
4;3;6;6;600
5;8;2;4;1500
6;4;1;3;3000
7;7;5;6;600
8;8;2;6;600
9;6;8;6;600
10;4;2;5;1500
11;1;4;5;1500
12;6;2;6;600
13;4;2;4;1500
14;4;3;6;600
15;2;3;4;1500
16;2;4;5;1500
17;2;5;5;1500
18;2;6;6;600
19;2;9;3;3000
20;6;3;5;1500
21;6;5;3;3000
22;4;7;6;600
23;3;6;3;3000
24;3;1;5;1500
25;6;5;6;600
26;5;7;5;1500
27;4;1;6;600
28;1;7;5;1500
29;4;8;5;1500
30;2;7;6;600
31;1;4;6;600
32;1;3;3;3000
33;8;2;6;600
34;7;2;3;3000
35;6;9;3;3000
36;6;8;6;600
37;7;1;4;1500
38;7;4;3;3000
39;4;5;3;3000
40;8;5;4;1500
41;6;5;3;3000
42;7;3;6;600
43;8;3;6;600
44;7;1;4;1500
45;3;2;5;1500
46;2;8;3;3000
47;9;8;5;1500
48;6;7;5;1500
49;2;5;4;1500
50;4;5;4;1500
51;8;1;5;1500
52;6;1;6;600
53;1;2;6;600
54;4;9;6;600
55;2;3;3;3000
56;3;5;6;600
57;1;8;5;1500
58;3;1;4;1500
59;2;8;3;3000
60;1;8;4;1500
61;1;3;4;1500
62;8;9;3;3000
63;8;7;4;1500
64;2;9;6;600
65;4;1;4;1500
66;6;8;6;600
67;6;7;5;1500
68;8;3;5;1500
69;6;4;4;1500
70;8;6;3;3000
71;1;2;3;3000
72;8;2;5;1500
73;8;2;4;1500
74;5;2;4;1500
75;9;8;4;1500
76;7;2;4;1500
77;3;6;6;600
78;6;4;5;1500
79;8;1;3;3000
80;6;1;4;1500
81;1;5;5;1500
82;1;4;6;600
83;1;8;6;600
84;5;2;6;600
85;1;9;4;1500
86;1;8;6;600
87;7;2;4;1500
88;8;3;3;3000
89;9;1;3;3000
90;9;3;4;1500
91;3;2;5;1500
92;4;5;4;1500
93;9;8;5;1500
94;6;3;3;3000
95;2;1;5;1500
96;9;5;6;600
97;9;6;6;600
98;8;6;6;600
99;9;4;5;1500
100;6;5;5;1500
101;5;1;3;3000
102;3;5;3;3000
103;1;4;3;3000
104;4;1;5;1500
105;6;4;3;3000
106;7;9;3;3000
107;7;4;6;600
108;5;3;5;1500
109;6;7;3;3000
110;6;5;3;3000
111;2;9;4;1500
112;2;3;3;3000
