index;source;destination;slots;max_length
1;4;2;6;600
2;5;1;6;600
3;5;3;5;1500
4;1;2;4;1500
5;1;2;5;1500
6;4;1;6;600
7;1;2;5;1500
8;2;4;3;3000
9;4;5;3;3000
10;3;1;4;1500
11;1;2;5;1500
12;1;2;6;600
13;2;4;5;1500
14;5;2;4;1500
15;4;3;6;600
16;5;3;3;3000
17;1;2;5;1500
18;5;1;4;1500
19;5;4;4;1500
20;1;2;6;600
21;3;1;4;1500
22;5;4;6;600
23;1;2;4;1500
24;3;1;3;3000
25;4;3;3;3000
26;2;4;6;600
27;5;2;5;1500
28;3;2;5;1500
29;5;3;5;1500
30;2;3;5;1500
31;3;2;3;3000
32;3;5;5;1500
33;2;4;4;1500
34;3;4;5;1500
35;1;2;4;1500
36;5;1;6;600
37;4;2;6;600
38;5;3;4;1500
39;3;4;6;600
40;5;1;5;1500
41;2;4;4;1500
42;4;1;3;3000
43;4;3;3;3000
44;4;1;5;1500
45;1;2;6;600
46;4;2;4;1500
47;3;2;4;1500
48;5;1;4;1500
49;1;2;3;3000
50;5;1;4;1500
51;4;1;4;1500
52;4;5;6;600
53;5;1;3;3000
54;2;5;5;1500
55;2;5;4;1500
56;1;2;4;1500
57;1;2;4;1500
58;1;2;5;1500
59;3;5;3;3000
60;3;2;4;1500
61;2;1;6;600
62;3;5;5;1500
63;3;1;3;3000
64;1;2;4;1500
65;5;4;4;1500
66;4;1;5;1500
67;5;3;5;1500
68;4;2;6;600
69;2;3;4;1500
70;1;2;5;1500
71;3;5;5;1500
72;5;1;4;1500
73;3;4;3;3000
74;4;2;6;600
75;5;4;6;600
76;4;3;6;600
77;4;5;3;3000
78;2;4;5;1500
79;3;4;4;1500
80;3;2;3;3000
81;3;5;5;1500
82;1;2;4;1500
83;2;1;5;1500
84;1;2;5;1500
85;4;5;6;600
86;3;2;6;600
87;1;2;6;600
88;3;2;4;1500
89;5;3;4;1500
90;1;2;6;600
91;1;2;5;1500
92;1;2;4;1500
93;3;1;5;1500
94;2;5;6;600
95;3;5;3;3000
96;5;3;4;1500
97;5;1;6;600
98;4;1;4;1500
99;5;1;4;1500
100;2;5;3;3000
101;2;3;3;3000
102;3;1;3;3000
103;2;1;6;600
104;2;3;3;3000
105;5;4;3;3000
106;5;3;4;1500
107;2;1;5;1500
108;3;2;4;1500
109;2;4;5;1500
110;2;5;4;1500
111;3;4;3;3000
112;2;1;3;3000
113;5;4;6;600
114;3;4;5;1500
115;1;2;5;1500
116;5;3;6;600
117;5;2;3;3000
118;3;2;3;3000
119;4;2;5;1500
120;3;5;5;1500
121;1;2;6;600
122;3;4;4;1500
123;5;2;4;1500
124;4;1;5;1500
125;1;2;3;3000
126;5;1;6;600
127;2;4;6;600
128;5;4;5;1500
129;1;2;6;600
130;1;2;5;1500
131;4;1;3;3000
132;2;4;6;600
133;5;4;5;1500
134;1;2;5;1500
135;1;2;5;1500
136;1;2;6;600
137;5;4;5;1500
138;3;5;3;3000
139;1;2;3;3000
140;5;4;4;1500
141;2;4;4;1500
142;5;4;3;3000
143;5;2;3;3000
144;4;5;6;600
145;1;2;4;1500
146;3;1;6;600
147;5;3;6;600
148;3;4;6;600
149;5;4;3;3000
150;4;1;3;3000
151;4;3;6;600
152;4;3;3;3000
153;4;2;4;1500
154;2;5;6;600
155;3;5;5;1500
156;5;3;5;1500
157;1;2;5;1500
158;5;3;5;1500
159;4;2;6;600
160;4;1;5;1500
161;5;2;6;600
162;3;4;3;3000
163;3;1;4;1500
164;5;2;3;3000
165;2;1;3;3000
166;3;4;4;1500
167;3;5;4;1500
168;2;1;6;600
169;3;1;4;1500
170;4;2;4;1500
171;4;3;6;600
172;5;4;4;1500
173;1;2;3;3000
174;1;2;5;1500
175;5;4;4;1500
176;1;2;5;1500
177;1;2;6;600
178;3;5;5;1500
179;2;5;3;3000
180;1;2;5;1500
181;5;2;4;1500
182;1;2;4;1500
183;2;4;6;600
184;2;4;6;600
185;4;2;5;1500
186;2;5;6;600
187;2;4;5;1500
188;3;1;6;600
189;1;2;6;600
190;4;5;3;3000
191;4;5;6;600
192;4;5;3;3000
193;4;5;6;600
194;3;5;5;1500
195;5;3;4;1500
196;5;2;4;1500
197;2;3;3;3000
198;1;2;4;1500
199;1;2;5;1500
200;3;2;3;3000
201;5;2;4;1500
202;5;1;4;1500
203;3;4;5;1500
204;3;4;4;1500
205;1;2;6;600
206;5;2;3;3000
207;4;5;3;3000
208;5;3;3;3000
209;4;1;4;1500
210;5;4;3;3000
211;2;3;6;600
212;1;2;6;600
213;3;4;5;1500
214;1;2;4;1500
215;2;1;3;3000
216;4;1;6;600
217;5;2;6;600
218;4;5;5;1500
219;2;1;3;3000
220;3;5;6;600
221;1;2;4;1500
222;2;1;6;600
223;5;3;3;3000
224;3;1;5;1500
225;4;1;4;1500
226;1;2;5;1500
227;4;3;6;600
228;2;1;6;600
229;3;4;5;1500
230;2;1;6;600
231;1;2;5;1500
232;3;1;6;600
233;1;2;4;1500
234;4;1;4;1500
235;4;2;4;1500
236;3;2;4;1500
237;5;2;5;1500
238;1;2;3;3000
239;1;2;5;1500
240;2;4;6;600
241;5;3;4;1500
242;3;4;5;1500
243;2;4;4;1500
244;1;2;3;3000
245;5;2;3;3000
246;3;2;6;600
247;4;1;6;600
248;2;1;3;3000
249;1;2;4;1500
250;3;1;4;1500
251;2;3;3;3000
252;1;2;3;3000
253;1;2;3;3000
254;4;2;6;600
255;3;5;3;3000
256;4;2;4;1500
257;5;1;6;600
258;1;2;4;1500
259;5;4;3;3000
260;5;2;6;600
261;4;2;4;1500
262;2;5;4;1500
263;1;2;6;600
264;2;1;5;1500
265;1;2;3;3000
266;3;4;3;3000
267;5;3;4;1500
268;2;1;4;1500
269;1;2;5;1500
270;1;2;5;1500
271;2;1;3;3000
272;2;4;6;600
273;4;5;5;1500
274;5;4;4;1500
275;3;5;3;3000
276;1;2;6;600
277;5;2;3;3000
278;3;2;6;600
279;4;1;4;1500
280;1;2;4;1500
281;5;4;4;1500
282;1;2;6;600
283;2;5;5;1500
284;4;3;4;1500
285;4;3;4;1500
286;4;1;6;600
287;2;3;5;1500
288;5;2;3;3000
289;1;2;6;600
290;1;2;5;1500
291;5;4;3;3000
292;3;4;6;600
293;1;2;4;1500
294;5;2;5;1500
295;1;2;4;1500
296;1;2;5;1500
297;3;4;4;1500
298;2;5;6;600
299;5;4;4;1500
300;5;4;4;1500
301;3;5;6;600
302;2;3;4;1500
303;5;3;4;1500
304;5;4;5;1500
305;5;3;5;1500
306;2;3;5;1500
307;4;3;5;1500
308;3;1;5;1500
309;1;2;5;1500
310;5;1;3;3000
311;2;1;5;1500
312;4;1;6;600
313;1;2;5;1500
314;3;5;4;1500
315;4;1;5;1500
316;2;5;5;1500
317;3;4;3;3000
318;5;3;3;3000
319;2;4;6;600
320;5;4;5;1500
321;1;2;4;1500
322;4;5;4;1500
323;1;2;5;1500
324;1;2;6;600
325;2;3;4;1500
326;1;2;4;1500
327;4;1;6;600
328;3;5;6;600
329;4;5;4;1500
330;1;2;4;1500
331;5;2;4;1500
332;2;4;5;1500
333;4;2;3;3000
334;2;1;3;3000
335;1;2;6;600
336;4;1;5;1500
337;3;4;6;600
338;4;3;4;1500
339;1;2;3;3000
340;5;2;5;1500
341;4;3;3;3000
342;1;2;3;3000
343;3;5;4;1500
344;5;4;6;600
345;3;4;4;1500
346;3;5;4;1500
347;1;2;6;600
348;5;1;6;600
349;1;2;5;1500
350;1;2;5;1500
351;4;1;4;1500
352;2;3;6;600
353;1;2;5;1500
354;5;1;4;1500
355;3;1;5;1500
356;2;5;5;1500
357;1;2;5;1500
358;4;1;5;1500
359;5;1;3;3000
360;5;2;3;3000
361;4;1;5;1500
362;5;2;6;600
363;4;5;4;1500
364;4;1;5;1500
365;4;1;6;600
366;2;4;3;3000
367;1;2;3;3000
368;2;5;6;600
369;3;2;3;3000
370;3;5;3;3000
371;4;1;4;1500
372;5;3;3;3000
373;5;3;3;3000
374;5;3;3;3000
375;1;2;4;1500
376;3;5;4;1500
377;2;4;4;1500
378;2;3;4;1500
379;4;3;5;1500
380;1;2;3;3000
381;4;3;6;600
382;3;2;5;1500
383;3;2;3;3000
384;5;1;6;600
385;2;4;5;1500
386;2;4;4;1500
387;4;1;6;600
388;2;3;6;600
389;4;5;4;1500
390;1;2;4;1500
391;4;5;6;600
392;4;5;6;600
393;2;1;6;600
394;1;2;3;3000
395;2;1;5;1500
396;1;2;3;3000
397;3;5;5;1500
398;4;1;6;600
399;1;2;4;1500
400;3;2;3;3000
401;3;2;4;1500
402;2;5;3;3000
403;1;2;3;3000
404;4;2;5;1500
405;3;1;3;3000
406;3;5;6;600
407;5;2;6;600
408;1;2;6;600
409;4;1;6;600
410;2;5;3;3000
411;2;5;3;3000
412;3;4;5;1500
413;5;2;4;1500
414;4;1;3;3000
415;2;3;3;3000
416;4;5;4;1500
417;2;5;3;3000
418;5;4;6;600
419;2;3;4;1500
420;5;4;4;1500
421;5;2;3;3000
422;2;5;3;3000
423;1;2;4;1500
424;5;4;5;1500
425;2;4;6;600
426;1;2;4;1500
427;1;2;4;1500
428;1;2;3;3000
429;5;2;4;1500
430;2;1;6;600
431;3;5;6;600
432;2;1;3;3000
433;4;3;6;600
434;3;2;5;1500
435;5;4;3;3000
436;2;5;5;1500
437;3;5;6;600
438;4;1;3;3000
439;3;4;5;1500
440;2;1;6;600
441;5;4;5;1500
442;3;4;6;600
443;4;5;3;3000
444;2;5;3;3000
445;1;2;5;1500
446;4;5;6;600
447;4;5;4;1500
448;4;1;3;3000
449;5;4;6;600
450;4;1;3;3000
451;1;2;4;1500
452;5;4;4;1500
453;3;4;3;3000
454;5;2;4;1500
455;5;3;6;600
456;5;4;3;3000
457;4;5;3;3000
458;5;2;3;3000
459;3;1;6;600
460;5;3;5;1500
461;2;4;6;600
462;1;2;3;3000
463;1;2;3;3000
464;5;2;4;1500
465;3;4;5;1500
466;2;4;6;600
467;4;2;4;1500
468;1;2;6;600
469;2;5;5;1500
470;5;4;5;1500
471;1;2;3;3000
472;2;5;5;1500
473;2;3;6;600
474;1;2;6;600
475;1;2;4;1500
476;4;3;6;600
477;2;3;4;1500
478;3;4;5;1500
479;4;5;3;3000
480;2;3;3;3000
481;4;3;6;600
482;4;5;3;3000
483;2;3;4;1500
484;1;2;4;1500
485;5;2;4;1500
486;5;1;6;600
487;1;2;5;1500
488;4;3;5;1500
489;5;4;4;1500
490;4;1;4;1500
491;2;3;3;3000
492;4;1;6;600
493;3;5;6;600
494;5;3;6;600
495;1;2;5;1500
496;2;1;6;600
497;2;5;3;3000
498;2;5;4;1500
499;4;5;6;600
500;1;2;3;3000
501;5;4;6;600
502;5;4;5;1500
503;5;4;3;3000
504;2;5;5;1500
505;1;2;3;3000
506;3;5;5;1500
507;2;3;6;600
