index;origin;destination;slots;max_reach
1;3;4;3;3000
2;4;9;3;3000
3;2;4;3;3000
4;7;5;3;3000
5;3;8;5;1500
6;2;1;6;600
7;9;6;6;600
8;1;2;6;600
9;9;6;3;3000
10;9;5;5;1500
11;9;5;5;1500
12;9;5;5;1500
13;7;6;5;1500
14;1;7;5;1500
15;4;9;5;1500
16;4;9;5;1500
17;8;2;5;1500
18;1;5;3;3000
19;1;5;5;1500
20;1;6;5;1500
21;4;9;3;3000
22;7;8;3;3000
23;1;7;5;1500
24;1;7;5;1500
25;8;4;5;1500
26;8;5;6;600
27;7;6;3;3000
28;7;5;3;3000
29;5;7;3;3000
30;4;3;5;1500
31;4;8;3;3000
32;3;9;5;1500
33;3;8;5;1500
34;2;3;6;600
35;5;1;3;3000
36;8;5;5;1500
37;7;1;5;1500
38;7;1;5;1500
39;6;7;3;3000
40;9;5;5;1500
41;9;5;5;1500
42;3;9;3;3000
43;5;9;5;1500
44;1;6;5;1500
45;8;1;3;3000
46;9;6;3;3000
47;9;5;3;3000
48;7;5;6;600
49;7;8;6;600
50;2;5;5;1500
51;2;5;5;1500
52;6;4;5;1500
53;9;8;5;1500
54;2;9;3;3000
55;2;8;5;1500
56;6;4;3;3000
57;4;6;5;1500
58;9;2;5;1500
59;9;2;5;1500
60;8;1;5;1500
61;8;1;5;1500
62;9;7;6;600
63;8;1;5;1500
64;8;1;5;1500
65;2;5;5;1500
66;2;4;3;3000
67;4;9;5;1500
68;4;9;5;1500
69;1;5;5;1500
70;1;5;5;1500
71;8;7;3;3000
72;6;8;5;1500
73;9;4;3;3000
74;6;4;6;600
75;9;3;5;1500
76;7;9;6;600
77;3;8;5;1500
78;3;8;5;1500
79;1;2;6;600
80;5;8;3;3000
81;1;7;5;1500
82;3;8;3;3000
83;8;6;6;600
84;2;3;3;3000
85;6;1;5;1500
86;9;8;3;3000
87;1;9;5;1500
88;1;9;5;1500
89;8;5;3;3000
90;4;8;5;1500
91;4;8;5;1500
92;4;8;5;1500
93;7;1;3;3000
94;6;2;5;1500
95;6;2;5;1500
96;6;2;5;1500
97;1;7;3;3000
98;8;4;5;1500
99;6;5;3;3000
100;8;3;5;1500
