index;origin;destination;slots;max_reach
1;4;5;3;3000
2;2;1;3;3000
3;9;4;5;1500
4;2;3;5;1500
5;3;2;6;600
6;1;9;5;1500
7;1;9;5;1500
8;2;7;5;1500
9;2;7;5;1500
10;8;1;5;1500
11;8;1;5;1500
12;7;6;6;600
13;7;5;5;1500
14;9;8;6;600
15;3;5;5;1500
16;6;8;5;1500
17;7;3;3;3000
18;3;4;5;1500
19;3;4;5;1500
20;1;3;5;1500
21;6;9;5;1500
22;9;2;5;1500
23;4;3;3;3000
24;5;9;5;1500
25;5;9;5;1500
26;1;8;5;1500
27;3;4;3;3000
28;4;5;5;1500
29;3;9;3;3000
30;5;7;6;600
31;9;8;3;3000
32;9;2;5;1500
33;2;8;3;3000
34;7;4;3;3000
35;1;9;3;3000
36;5;2;5;1500
37;3;2;5;1500
38;5;1;3;3000
39;3;2;6;600
40;9;3;5;1500
