Var1;Var2;Var3;Var4;Var5
1;3;4;3;3000
2;4;9;3;3000
3;2;4;3;3000
4;7;5;3;3000
5;3;8;5;1500
6;2;1;6;600
7;9;6;6;600
8;1;2;6;600
9;9;6;3;3000
10;9;5;5;1500
11;9;5;5;1500
12;9;5;5;1500
13;7;6;5;1500
14;1;7;5;1500
15;4;9;5;1500
16;4;9;5;1500
17;8;2;5;1500
18;1;5;3;3000
19;1;5;5;1500
20;1;6;5;1500
21;4;9;3;3000
22;7;8;3;3000
23;1;7;5;1500
24;1;7;5;1500
25;8;4;5;1500
26;8;5;6;600
27;7;6;3;3000
28;7;5;3;3000
29;5;7;3;3000
30;4;3;5;1500
31;4;8;3;3000
32;3;9;5;1500
33;3;8;5;1500
34;2;3;6;600
35;5;1;3;3000
36;8;5;5;1500
37;7;1;5;1500
38;7;1;5;1500
39;6;7;3;3000
40;9;5;5;1500
41;9;5;5;1500
42;3;9;3;3000
43;5;9;5;1500
44;1;6;5;1500
45;8;1;3;3000
46;9;6;3;3000
47;9;5;3;3000
48;7;5;6;600
49;7;8;6;600
50;2;5;5;1500
51;2;5;5;1500
52;6;4;5;1500
53;9;8;5;1500
54;2;9;3;3000
55;2;8;5;1500
56;6;4;3;3000
57;4;6;5;1500
58;9;2;5;1500
59;9;2;5;1500
60;8;1;5;1500
61;8;1;5;1500
62;9;7;6;600
63;8;1;5;1500
64;8;1;5;1500
65;2;5;5;1500
66;2;4;3;3000
67;4;9;5;1500
68;4;9;5;1500
69;1;5;5;1500
70;1;5;5;1500
71;8;7;3;3000
72;6;8;5;1500
73;9;4;3;3000
74;6;4;6;600
75;9;3;5;1500
76;7;9;6;600
77;3;8;5;1500
78;3;8;5;1500
79;1;2;6;600
80;5;8;3;3000
81;1;7;5;1500
82;3;8;3;3000
83;8;6;6;600
84;2;3;3;3000
85;6;1;5;1500
86;9;8;3;3000
87;1;9;5;1500
88;1;9;5;1500
89;8;5;3;3000
90;4;8;5;1500
91;4;8;5;1500
92;4;8;5;1500
93;7;1;3;3000
94;6;2;5;1500
95;6;2;5;1500
96;6;2;5;1500
97;1;7;3;3000
98;8;4;5;1500
99;6;5;3;3000
100;8;3;5;1500
101;3;6;3;3000
102;2;8;5;1500
103;2;8;5;1500
104;3;6;5;1500
105;4;3;5;1500
106;3;8;3;3000
107;5;2;5;1500
108;2;4;5;1500
109;4;6;6;600
110;1;8;3;3000
111;7;8;3;3000
112;6;1;5;1500
113;6;1;5;1500
114;1;6;5;1500
115;1;6;5;1500
116;5;3;3;3000
117;1;5;3;3000
118;2;3;3;3000
119;2;1;5;1500
120;3;2;5;1500
121;6;9;6;600
122;8;5;5;1500
123;8;9;5;1500
124;7;6;3;3000
125;1;2;3;3000
126;6;3;5;1500
127;6;3;5;1500
128;7;5;5;1500
129;8;5;5;1500
130;7;2;5;1500
131;6;7;5;1500
132;7;1;5;1500
133;2;3;3;3000
134;8;4;5;1500
135;7;1;3;3000
136;5;8;3;3000
137;2;5;5;1500
138;2;5;5;1500
139;4;1;5;1500
140;3;6;5;1500
141;3;6;5;1500
142;5;1;5;1500
143;6;4;3;3000
144;5;8;3;3000
145;5;9;5;1500
146;5;9;5;1500
147;6;2;5;1500
148;7;6;3;3000
149;5;4;5;1500
150;7;8;3;3000
151;1;4;5;1500
152;3;4;3;3000
153;5;9;5;1500
154;7;5;5;1500
155;1;9;5;1500
156;1;9;5;1500
157;4;6;5;1500
158;5;8;5;1500
159;5;9;5;1500
160;8;3;5;1500
161;8;3;5;1500
162;7;8;6;600
163;6;4;5;1500
164;7;6;3;3000
165;7;4;3;3000
166;2;9;3;3000
167;4;6;5;1500
168;8;9;6;600
169;3;5;5;1500
170;2;4;3;3000
171;1;6;5;1500
172;7;9;3;3000
173;1;2;5;1500
174;5;9;5;1500
175;6;4;3;3000
176;7;6;6;600
177;5;4;6;600
178;1;3;3;3000
179;4;3;5;1500
180;4;2;3;3000
181;6;8;3;3000
182;8;6;6;600
183;8;6;5;1500
184;1;5;5;1500
185;1;5;5;1500
186;8;2;5;1500
187;8;2;5;1500
188;5;9;5;1500
189;1;9;5;1500
190;7;5;5;1500
191;8;5;5;1500
192;3;5;6;600
193;4;9;5;1500
194;4;9;5;1500
195;5;2;5;1500
196;5;2;5;1500
197;7;8;6;600
198;7;1;5;1500
199;2;8;5;1500
200;6;7;3;3000
201;7;6;6;600
202;4;5;3;3000
203;9;1;5;1500
204;9;1;5;1500
205;8;9;5;1500
206;8;9;6;600
207;2;1;3;3000
208;6;9;6;600
209;2;7;5;1500
210;2;7;5;1500
211;3;8;3;3000
212;7;3;5;1500
213;9;6;3;3000
214;4;2;6;600
215;8;6;6;600
216;4;8;5;1500
217;4;8;5;1500
218;4;8;5;1500
219;2;3;5;1500
220;6;3;3;3000
221;2;1;6;600
222;5;9;3;3000
223;9;8;3;3000
224;3;4;5;1500
225;3;4;5;1500
226;8;2;5;1500
227;8;2;5;1500
228;3;4;5;1500
229;4;6;6;600
230;6;3;5;1500
231;6;3;5;1500
232;3;4;5;1500
233;8;1;5;1500
234;1;2;5;1500
235;8;2;3;3000
236;8;9;6;600
237;1;7;5;1500
238;1;7;5;1500
239;7;9;3;3000
240;7;9;3;3000
241;1;5;3;3000
242;4;3;5;1500
243;4;3;5;1500
244;1;4;5;1500
245;1;4;5;1500
246;2;6;3;3000
247;2;5;5;1500
248;2;5;5;1500
249;5;4;3;3000
250;5;2;5;1500
251;5;9;5;1500
252;5;2;5;1500
253;5;2;5;1500
254;9;5;5;1500
255;9;5;5;1500
256;4;1;5;1500
257;4;1;5;1500
258;8;2;5;1500
259;8;2;5;1500
260;3;8;5;1500
261;3;8;5;1500
262;6;9;3;3000
263;8;2;3;3000
264;4;7;5;1500
265;5;7;6;600
266;2;6;3;3000
267;1;8;3;3000
268;1;5;3;3000
269;4;5;6;600
270;9;6;5;1500
271;1;4;3;3000
272;8;1;5;1500
273;8;1;5;1500
274;8;1;5;1500
275;9;3;5;1500
276;8;3;5;1500
277;8;6;6;600
278;2;5;5;1500
279;7;4;6;600
280;9;4;3;3000
281;8;3;5;1500
282;5;7;5;1500
283;6;2;5;1500
284;8;6;6;600
285;5;6;6;600
286;8;4;3;3000
287;9;1;3;3000
288;3;8;3;3000
289;9;2;3;3000
290;2;9;5;1500
291;2;9;5;1500
292;3;9;3;3000
293;4;2;3;3000
294;4;8;5;1500
295;8;6;3;3000
296;9;3;3;3000
297;2;7;5;1500
298;1;4;3;3000
299;4;7;5;1500
300;7;9;5;1500
301;6;1;5;1500
302;2;6;3;3000
303;9;4;5;1500
304;9;4;5;1500
305;5;1;5;1500
306;1;2;5;1500
307;8;9;6;600
308;6;1;3;3000
309;8;9;3;3000
310;9;8;5;1500
311;6;5;3;3000
312;4;5;5;1500
313;2;6;5;1500
314;3;8;5;1500
315;9;3;5;1500
316;9;3;5;1500
317;9;4;5;1500
318;9;4;5;1500
319;9;1;5;1500
320;9;1;5;1500
321;9;3;3;3000
322;3;2;5;1500
323;4;5;6;600
324;3;6;3;3000
325;5;8;3;3000
326;3;1;3;3000
327;2;6;3;3000
328;9;7;5;1500
329;7;8;6;600
330;3;9;5;1500
331;2;6;5;1500
332;2;6;5;1500
333;2;5;5;1500
334;7;8;6;600
335;3;6;5;1500
336;6;7;5;1500
337;1;9;3;3000
338;7;5;5;1500
339;4;2;3;3000
340;5;9;3;3000
341;6;7;6;600
342;8;3;5;1500
343;8;3;5;1500
344;8;9;3;3000
345;4;9;5;1500
346;7;8;5;1500
347;6;9;3;3000
348;6;9;5;1500
349;8;6;6;600
350;7;2;5;1500
351;9;3;3;3000
352;4;9;3;3000
353;5;7;6;600
354;4;7;6;600
355;6;1;5;1500
356;6;1;5;1500
357;6;1;5;1500
358;6;1;5;1500
359;6;4;3;3000
360;8;1;5;1500
361;8;1;5;1500
362;6;1;3;3000
363;5;7;5;1500
364;3;8;3;3000
365;8;3;5;1500
366;9;5;5;1500
367;3;8;3;3000
368;2;6;5;1500
369;5;9;5;1500
370;2;5;5;1500
371;2;5;5;1500
372;3;2;3;3000
373;7;2;3;3000
374;6;9;6;600
375;3;5;6;600
376;4;8;5;1500
377;4;8;5;1500
378;6;9;5;1500
379;2;6;5;1500
380;2;6;5;1500
381;6;3;5;1500
382;9;3;5;1500
383;7;4;6;600
384;2;3;6;600
385;3;8;5;1500
386;3;8;5;1500
387;8;1;3;3000
388;7;9;5;1500
389;5;8;6;600
390;3;5;3;3000
391;7;9;3;3000
392;5;1;5;1500
393;9;6;6;600
394;9;2;3;3000
395;1;2;6;600
396;8;6;6;600
397;9;1;5;1500
398;5;9;3;3000
399;3;5;6;600
400;9;1;5;1500
401;9;1;5;1500
402;9;2;3;3000
403;4;6;3;3000
404;6;1;5;1500
405;6;1;5;1500
406;1;6;5;1500
407;1;9;5;1500
408;1;2;6;600
409;5;6;3;3000
410;6;9;5;1500
411;7;2;5;1500
