Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 406.000000 | 406.00000 | 406.00000 | 4940.0 | 0.0000 | 2.000000 | NO          | 1.700038  | 
2     | 0        | 406.685051 | 406.68505 | 846.00000 | 4877.0 | 0.5248 | 2.000000 | NO          | 1.783680  | 
3     | 0        | 556.064111 | 556.06411 | 1193.0000 | 4806.0 | 0.2438 | 2.000000 | NO          | 1.873132  | 
4     | 0        | 654.830604 | 654.83060 | 1553.0000 | 4806.0 | 0.3796 | 2.000000 | NO          | 1.949902  | 
5     | 0        | 705.388917 | 705.38891 | 1842.0000 | 4806.0 | 0.4169 | 2.000000 | NO          | 2.023224  | 
6     | 0        | 783.067311 | 783.06731 | 1934.0000 | 4806.0 | 0.2360 | 2.000000 | NO          | 2.060967  | 
7     | 0        | 800.956994 | 800.95699 | 2206.0000 | 4806.0 | 0.4195 | 2.000000 | NO          | 2.098001  | 
8     | 1        | 800.956994 | 750.61902 | 2263.0000 | 4806.0 | 0.7138 | 2.000000 | NO          | 2.134356  | 
9     | 2        | 800.956994 | 735.13678 | 2410.0000 | 4806.0 | 0.7655 | 2.000000 | NO          | 2.170982  | 
10    | 0        | 831.993999 | 831.99399 | 2625.0000 | 4806.0 | 0.4896 | 2.000000 | NO          | 2.209359  | 
11    | 0        | 860.122142 | 860.12214 | 2701.0000 | 4806.0 | 0.4710 | 2.000000 | NO          | 2.251531  | 
12    | 1        | 860.122142 | 830.44874 | 3083.0000 | 4806.0 | 0.8704 | 2.000000 | NO          | 2.288486  | 
13    | 2        | 860.122142 | 695.16703 | 2606.0000 | 4806.0 | 0.8278 | 2.000000 | NO          | 2.325238  | 
14    | 3        | 860.122142 | 590.66833 | 3065.0000 | 4806.0 | 0.7431 | 2.000000 | NO          | 2.365326  | 
15    | 4        | 860.122142 | 624.80040 | 3387.0000 | 4806.0 | 0.6800 | 2.000000 | NO          | 2.402244  | 
16    | 5        | 860.122142 | 404.21196 | 2897.0000 | 4806.0 | 0.9056 | 2.000000 | NO          | 2.439122  | 
17    | 6        | 860.122142 | 554.23743 | 2941.0000 | 4806.0 | 0.5474 | 2.000000 | NO          | 2.477365  | 
18    | 7        | 860.122142 | 246.20731 | 2645.0000 | 4806.0 | 0.9637 | 2.000000 | NO          | 2.514233  | 
19    | 8        | 860.122142 | 333.74746 | 2842.0000 | 4806.0 | 1.0339 | 2.000000 | NO          | 2.551451  | 
20    | 9        | 860.122142 | 121.79670 | 1955.0000 | 4806.0 | 1.0750 | 2.000000 | NO          | 2.588553  | 
21    | 10       | 860.122142 | 156.97136 | 2211.0000 | 4806.0 | 0.6696 | 2.000000 | NO          | 2.625754  | 
22    | 11       | 860.122142 | 278.48186 | 3274.0000 | 4806.0 | 0.4298 | 2.000000 | NO          | 2.663083  | 
23    | 12       | 860.122142 | -86.71484 | 2858.0000 | 4806.0 | 0.9818 | 2.000000 | NO          | 2.700220  | 
24    | 13       | 860.122142 | 62.461389 | 3318.0000 | 4806.0 | 0.4225 | 2.000000 | NO          | 2.737388  | 
25    | 14       | 860.122142 | 168.05200 | 3737.0000 | 4806.0 | 0.3923 | 2.000000 | NO          | 2.774629  | 
26    | 15       | 860.122142 | 112.11852 | 4416.0000 | 4806.0 | 0.6318 | 2.000000 | NO          | 2.811760  | 
27    | 16       | 860.122142 | 170.43409 | 3901.0000 | 4806.0 | 0.5765 | 2.000000 | NO          | 2.849025  | 
28    | 17       | 860.122142 | 148.73483 | 3616.0000 | 4806.0 | 1.2870 | 2.000000 | NO          | 2.886433  | 
29    | 18       | 860.122142 | -114.8219 | 3139.0000 | 4806.0 | 1.0304 | 2.000000 | NO          | 2.923628  | 
