index;origin;destination;slots;max_reach
1;2;5;4;1500;
2;3;4;4;1500;
3;9;8;4;1500;
4;6;8;5;1500;
5;5;1;5;1500;
6;9;7;5;1500;
7;3;9;5;1500;
8;7;4;5;1500;
9;8;6;6;3000;
10;4;8;5;1500;
11;6;2;5;1500;
12;4;5;5;1500;
13;6;4;3;600;
14;9;2;4;1500;
15;3;2;4;1500;
16;3;1;6;3000;
17;6;7;4;1500;
18;6;7;4;1500;
19;9;7;4;1500;
20;8;7;4;1500;
21;4;7;5;1500;
22;8;7;4;1500;
23;9;1;5;1500;
24;3;4;5;1500;
25;2;5;4;1500;
26;3;8;6;3000;
27;1;8;5;1500;
28;5;9;5;1500;
29;2;3;3;600;
30;7;2;5;1500;
31;4;3;6;3000;
32;4;6;5;1500;
33;5;2;4;1500;
34;1;3;3;600;
35;4;2;3;600;
36;7;4;3;600;
37;6;2;4;1500;
38;2;4;6;3000;
39;7;8;4;1500;
40;8;9;6;3000;
41;5;4;4;1500;
42;9;6;6;3000;
43;7;6;6;3000;
44;2;7;6;3000;
45;5;4;5;1500;
46;5;4;4;1500;
47;2;1;3;600;
48;9;6;5;1500;
49;2;3;4;1500;
50;5;1;4;1500;
51;9;5;6;3000;
52;6;1;5;1500;
53;6;9;5;1500;
54;6;5;5;1500;
55;9;5;6;3000;
56;3;5;4;1500;
57;3;5;4;1500;
58;5;4;6;3000;
59;4;7;3;600;
60;9;3;4;1500;
61;9;1;6;3000;
62;3;1;5;1500;
63;2;7;6;3000;
64;8;9;5;1500;
65;7;4;5;1500;
66;7;6;5;1500;
67;3;7;4;1500;
68;8;6;6;3000;
69;7;6;6;3000;
70;3;6;6;3000;
