index;origin;destination;slots;max_reach
1;72;46;4;1500;
2;96;31;3;600;
3;48;81;5;1500;
4;42;19;3;600;
5;3;18;3;600;
6;84;32;5;1500;
7;19;67;6;3000;
8;95;115;5;1500;
9;76;62;6;3000;
10;23;118;3;600;
11;22;65;4;1500;
12;31;97;3;600;
13;35;20;3;600;
14;114;61;5;1500;
15;106;123;6;3000;
16;75;83;6;3000;
17;9;37;4;1500;
18;108;67;6;3000;
19;50;18;3;600;
20;114;100;4;1500;
21;78;57;5;1500;
22;23;88;5;1500;
23;59;122;4;1500;
24;112;47;4;1500;
25;58;89;6;3000;
26;22;39;4;1500;
27;77;107;4;1500;
28;74;91;3;600;
29;62;76;4;1500;
30;106;65;4;1500;
31;84;18;4;1500;
32;122;101;3;600;
33;72;95;5;1500;
34;62;16;3;600;
35;21;37;5;1500;
36;123;113;4;1500;
37;12;122;6;3000;
38;28;59;5;1500;
39;122;101;6;3000;
40;67;60;3;600;
41;68;57;3;600;
42;33;64;6;3000;
43;115;100;3;600;
44;119;97;6;3000;
45;88;53;6;3000;
46;30;111;6;3000;
47;79;123;4;1500;
48;94;86;6;3000;
49;121;83;6;3000;
50;28;25;5;1500;
