index;origin;destination;slots;max_reach
1;12;19;5;1500;
2;23;22;3;600;
3;18;2;6;3000;
4;3;23;4;1500;
5;15;10;4;1500;
6;20;16;6;3000;
7;21;8;4;1500;
8;13;22;4;1500;
9;6;1;3;600;
10;20;21;6;3000;
11;7;15;5;1500;
12;4;3;6;3000;
13;17;12;4;1500;
14;4;14;6;3000;
15;14;4;3;600;
16;11;16;6;3000;
17;14;12;5;1500;
18;3;16;3;600;
19;1;17;3;600;
20;13;8;5;1500;
21;3;22;4;1500;
22;22;2;5;1500;
23;9;15;4;1500;
24;23;10;5;1500;
25;18;23;3;600;
26;9;10;5;1500;
27;5;4;3;600;
28;5;1;3;600;
29;17;9;5;1500;
30;11;6;6;3000;
31;8;7;4;1500;
32;17;13;6;3000;
33;7;23;4;1500;
34;24;21;5;1500;
35;1;22;3;600;
36;5;10;3;600;
37;8;14;4;1500;
38;24;10;4;1500;
39;24;2;4;1500;
40;6;5;6;3000;
41;6;12;4;1500;
42;7;20;5;1500;
43;6;2;3;600;
44;8;18;3;600;
45;6;10;4;1500;
46;22;14;6;3000;
47;18;21;3;600;
48;7;13;5;1500;
49;13;4;6;3000;
50;2;10;6;3000;
51;21;7;6;3000;
52;23;13;5;1500;
53;5;11;3;600;
54;1;18;4;1500;
55;17;23;5;1500;
56;22;12;6;3000;
57;24;2;6;3000;
58;12;24;6;3000;
59;8;23;3;600;
60;9;3;4;1500;
61;15;10;6;3000;
62;19;12;6;3000;
63;5;8;6;3000;
64;22;5;6;3000;
65;12;3;3;600;
66;23;6;4;1500;
67;4;6;5;1500;
68;23;17;4;1500;
69;6;16;6;3000;
70;14;24;4;1500;
