index;origin;destination;slots;max_reach
1;1;2;3;3000
2;1;3;5;1500
3;1;3;5;1500
4;1;4;3;3000
5;1;4;5;1500
6;1;5;3;3000
7;1;5;5;1500
8;1;6;3;3000
9;1;7;3;3000
10;1;8;3;3000
11;1;8;3;3000
12;1;9;3;3000
13;2;3;3;3000
14;2;4;3;3000
15;2;5;3;3000
16;2;6;3;3000
17;2;6;5;1500
18;2;7;3;3000
19;2;7;5;1500
20;2;8;3;3000
21;2;8;5;1500
22;2;9;5;1500
23;2;9;5;1500
24;3;4;5;1500
25;3;5;3;3000
26;3;6;5;1500
27;3;6;5;3000
28;3;7;3;1500
29;3;8;3;3000
30;3;9;5;1500
31;3;9;5;1500
32;3;9;5;1500
33;4;5;3;3000
34;4;5;5;1500
35;4;6;3;3000
36;4;7;3;3000
37;4;7;5;1500
38;4;8;3;3000
39;4;8;5;1500
40;4;9;5;1500
41;4;9;5;1500
42;5;6;5;1500
43;5;6;5;1500
44;5;6;6;600
45;5;7;3;3000
46;5;7;5;1500
47;5;8;3;3000
48;5;8;5;1500
49;5;9;5;1500
50;6;7;6;600
51;6;8;3;3000
52;6;8;5;1500
53;6;9;3;3000
54;6;9;6;600
55;7;8;3;3000
56;7;9;6;600
57;8;9;3;3000
58;8;9;5;1500
59;8;9;6;600
