index;source;destination;slots;max_length
1;9;5;3;3000
2;3;5;4;1500
3;8;1;5;1500
4;2;8;5;1500
5;5;6;3;3000
6;7;1;5;1500
7;1;4;4;1500
8;3;1;5;1500
9;1;5;3;3000
10;8;6;6;600
11;2;8;4;1500
12;5;7;6;600
13;7;6;4;1500
14;2;3;3;3000
15;1;6;3;3000
16;8;5;4;1500
17;1;3;5;1500
18;5;7;6;600
19;6;4;6;600
20;5;1;5;1500
21;1;7;5;1500
22;1;2;6;600
23;6;8;6;600
24;4;7;6;600
25;7;2;4;1500
26;1;2;3;3000
27;4;9;5;1500
28;4;6;6;600
29;7;8;3;3000
30;4;8;6;600
31;1;4;5;1500
32;1;3;4;1500
33;1;9;3;3000
34;5;9;3;3000
35;7;1;5;1500
36;8;5;4;1500
37;2;3;6;600
38;4;9;4;1500
39;5;2;4;1500
40;1;5;5;1500
41;8;2;4;1500
42;2;6;6;600
43;1;8;4;1500
44;7;2;4;1500
45;8;2;6;600
46;3;6;4;1500
47;8;2;4;1500
48;1;3;3;3000
49;1;5;5;1500
50;5;4;5;1500
51;7;4;5;1500
52;4;7;6;600
53;8;4;6;600
54;2;8;3;3000
55;8;3;4;1500
56;7;5;4;1500
57;1;2;4;1500
58;9;3;3;3000
59;1;9;5;1500
60;7;4;6;600
61;8;5;5;1500
62;6;4;3;3000
63;9;5;6;600
64;6;4;3;3000
65;3;1;6;600
66;5;2;6;600
67;2;5;6;600
68;5;1;6;600
69;8;4;3;3000
70;1;6;4;1500
71;9;7;4;1500
72;7;2;3;3000
73;2;3;4;1500
74;7;6;3;3000
75;7;5;5;1500
76;4;9;3;3000
77;1;6;5;1500
78;7;4;5;1500
79;7;9;3;3000
80;1;2;4;1500
81;6;9;5;1500
82;8;4;3;3000
83;7;9;3;3000
84;8;9;3;3000
85;5;7;4;1500
86;9;1;5;1500
87;8;3;5;1500
88;2;6;6;600
89;8;2;4;1500
90;3;7;4;1500
91;8;1;3;3000
92;2;1;6;600
93;5;3;3;3000
94;9;6;6;600
95;4;8;5;1500
96;5;9;5;1500
97;4;1;5;1500
98;1;4;4;1500
99;3;9;4;1500
100;1;2;4;1500
101;6;5;4;1500
102;7;4;5;1500
103;2;9;3;3000
104;6;5;6;600
105;8;6;5;1500
106;9;8;4;1500
107;7;2;4;1500
108;2;1;6;600
109;6;3;3;3000
110;6;4;4;1500
111;8;2;6;600
112;5;3;3;3000
113;8;5;6;600
114;4;5;5;1500
115;2;8;4;1500
116;2;5;5;1500
117;1;3;6;600
118;1;2;3;3000
119;9;1;5;1500
120;2;1;6;600
121;1;7;3;3000
122;7;5;6;600
123;4;7;5;1500
124;6;1;4;1500
125;5;8;6;600
126;4;3;4;1500
127;7;9;5;1500
128;9;3;3;3000
129;5;4;5;1500
130;4;3;5;1500
131;3;5;4;1500
132;5;3;4;1500
133;1;3;4;1500
134;4;8;6;600
135;4;2;5;1500
136;1;9;5;1500
137;5;9;3;3000
138;2;6;4;1500
139;9;2;6;600
140;2;3;3;3000
141;4;7;4;1500
142;8;6;4;1500
143;2;9;6;600
144;5;1;4;1500
145;2;4;5;1500
146;6;3;3;3000
147;9;8;4;1500
148;9;8;5;1500
149;5;1;3;3000
150;8;2;5;1500
151;6;5;3;3000
152;8;4;5;1500
153;4;2;6;600
154;6;2;6;600
155;5;8;6;600
156;6;3;4;1500
157;5;6;3;3000
158;8;2;6;600
159;9;3;3;3000
160;9;6;4;1500
161;6;7;6;600
162;6;2;3;3000
163;5;7;3;3000
164;8;7;3;3000
165;2;9;3;3000
166;3;6;5;1500
167;5;2;5;1500
168;5;2;3;3000
169;9;7;6;600
170;7;4;4;1500
171;5;4;3;3000
172;4;2;4;1500
173;7;2;6;600
174;2;3;4;1500
175;8;4;6;600
176;4;5;3;3000
177;8;9;6;600
178;9;6;6;600
179;8;4;3;3000
180;1;6;4;1500
181;9;7;4;1500
182;2;7;6;600
183;5;2;3;3000
184;3;6;3;3000
185;8;9;4;1500
186;9;3;5;1500
187;4;1;3;3000
188;2;7;5;1500
189;3;1;5;1500
190;3;8;5;1500
191;2;1;6;600
192;2;6;6;600
193;1;9;5;1500
194;6;7;6;600
195;5;3;6;600
196;5;8;6;600
197;5;1;4;1500
198;3;6;3;3000
199;3;4;6;600
200;9;5;6;600
201;7;2;5;1500
202;4;3;4;1500
203;4;3;6;600
204;2;7;6;600
205;8;4;4;1500
206;1;8;6;600
207;3;6;4;1500
208;2;9;5;1500
209;7;1;4;1500
210;7;9;6;600
211;6;2;6;600
212;1;3;5;1500
213;8;6;5;1500
214;8;5;5;1500
215;8;2;4;1500
216;9;4;3;3000
217;7;5;6;600
218;5;8;5;1500
219;6;7;4;1500
220;8;9;3;3000
221;1;4;4;1500
222;1;9;3;3000
223;5;1;4;1500
224;1;2;6;600
225;3;6;3;3000
226;9;1;3;3000
227;7;9;3;3000
228;2;1;5;1500
229;8;1;4;1500
230;6;2;3;3000
231;3;1;6;600
232;6;8;6;600
233;4;5;5;1500
234;8;6;6;600
235;8;9;3;3000
236;9;2;6;600
237;5;1;6;600
238;9;3;5;1500
239;2;7;4;1500
240;5;8;5;1500
241;4;5;5;1500
242;2;4;4;1500
243;2;3;4;1500
244;8;2;5;1500
245;6;9;4;1500
246;3;2;6;600
247;3;1;4;1500
248;3;2;4;1500
249;3;4;4;1500
250;7;3;5;1500
251;5;3;3;3000
252;9;7;3;3000
253;4;5;5;1500
254;9;1;4;1500
255;6;8;3;3000
256;9;1;5;1500
257;6;9;4;1500
258;7;6;5;1500
259;5;8;5;1500
260;8;2;4;1500
261;7;9;5;1500
262;9;2;4;1500
263;3;2;4;1500
264;8;1;5;1500
265;7;2;3;3000
266;1;9;3;3000
267;8;3;3;3000
268;9;6;3;3000
269;1;2;5;1500
270;3;5;5;1500
271;4;7;6;600
272;7;1;5;1500
273;4;6;5;1500
274;3;4;5;1500
275;2;8;5;1500
276;2;9;3;3000
277;8;4;4;1500
278;5;7;3;3000
279;4;7;4;1500
280;8;7;3;3000
281;5;6;6;600
282;6;9;4;1500
283;6;5;6;600
284;6;8;4;1500
285;8;9;3;3000
286;5;9;4;1500
287;1;7;4;1500
288;1;8;5;1500
289;1;7;5;1500
290;4;9;4;1500
291;3;4;6;600
292;8;2;3;3000
293;9;6;4;1500
294;8;1;5;1500
295;2;7;4;1500
296;9;5;6;600
297;2;9;6;600
298;2;7;5;1500
299;2;9;3;3000
300;1;3;5;1500
301;2;7;3;3000
302;7;3;6;600
303;2;3;5;1500
304;7;4;4;1500
305;2;1;6;600
306;4;9;6;600
307;4;7;4;1500
308;4;3;5;1500
309;9;6;3;3000
310;6;2;4;1500
311;7;5;6;600
312;2;6;4;1500
313;8;1;6;600
314;9;5;3;3000
315;1;2;6;600
316;6;5;3;3000
317;6;7;4;1500
318;6;9;6;600
319;3;6;6;600
320;3;7;4;1500
321;2;8;6;600
322;5;2;4;1500
323;3;2;5;1500
324;2;6;6;600
325;6;7;5;1500
326;8;5;4;1500
327;3;6;5;1500
328;8;5;6;600
329;6;1;3;3000
330;6;1;3;3000
331;1;6;4;1500
332;3;9;5;1500
333;9;3;3;3000
334;4;2;4;1500
335;9;1;5;1500
336;5;7;6;600
337;4;2;3;3000
338;1;9;6;600
339;9;4;4;1500
340;3;6;5;1500
341;3;4;5;1500
342;2;5;4;1500
343;3;8;5;1500
344;4;3;6;600
345;7;4;3;3000
346;1;8;5;1500
347;6;8;6;600
348;1;6;4;1500
