index;source;destination;slots;max_length
1;4;3;3;3000
2;1;2;4;1500
3;3;1;3;3000
4;3;4;3;3000
5;3;1;3;3000
6;5;3;3;3000
7;4;2;5;1500
8;2;1;3;3000
9;2;5;3;3000
10;3;5;3;3000
11;4;3;3;3000
12;1;2;3;3000
13;2;4;3;3000
14;4;2;4;1500
15;4;2;4;1500
16;3;2;3;3000
17;2;3;3;3000
18;2;5;6;600
19;3;4;6;600
20;3;1;6;600
21;1;2;3;3000
22;1;2;5;1500
23;4;5;3;3000
24;2;3;4;1500
25;2;5;5;1500
26;3;4;6;600
27;1;2;5;1500
28;3;2;5;1500
29;5;4;6;600
30;2;1;3;3000
31;4;2;5;1500
32;5;4;3;3000
33;5;1;3;3000
34;5;1;5;1500
35;3;2;5;1500
36;5;2;3;3000
37;2;3;6;600
38;3;5;5;1500
39;3;2;3;3000
40;1;2;5;1500
41;2;3;6;600
42;2;5;3;3000
43;3;5;5;1500
44;2;1;3;3000
45;3;1;4;1500
46;5;3;5;1500
47;2;3;6;600
48;4;1;3;3000
49;3;5;3;3000
50;5;3;5;1500
51;2;4;6;600
52;2;5;6;600
53;4;5;6;600
54;1;2;6;600
55;5;2;3;3000
56;4;5;6;600
57;5;2;6;600
58;3;4;4;1500
59;2;1;3;3000
60;4;3;3;3000
61;4;5;5;1500
62;4;5;5;1500
63;5;2;6;600
64;3;5;3;3000
65;3;2;3;3000
66;2;4;6;600
67;3;5;4;1500
68;2;4;4;1500
69;5;3;6;600
70;4;3;5;1500
71;3;5;6;600
72;1;2;3;3000
73;3;1;4;1500
74;1;2;5;1500
75;5;4;3;3000
76;3;5;4;1500
77;3;5;6;600
78;3;1;5;1500
79;5;4;4;1500
80;2;4;6;600
81;5;3;3;3000
82;3;5;3;3000
83;2;5;3;3000
84;1;2;4;1500
85;5;4;4;1500
86;3;5;4;1500
87;1;2;4;1500
88;4;3;4;1500
89;1;2;3;3000
90;5;2;5;1500
91;3;4;5;1500
92;5;1;4;1500
93;5;3;5;1500
94;1;2;4;1500
95;4;3;5;1500
96;4;5;5;1500
97;5;4;4;1500
98;1;2;3;3000
99;2;1;3;3000
100;2;1;3;3000
101;2;3;3;3000
102;3;2;5;1500
103;2;5;6;600
104;2;5;3;3000
105;4;3;6;600
106;5;4;4;1500
107;3;5;6;600
108;1;2;3;3000
109;5;1;3;3000
110;1;2;5;1500
111;3;2;5;1500
112;3;5;5;1500
113;1;2;5;1500
114;1;2;4;1500
115;5;4;3;3000
116;2;1;4;1500
117;3;1;4;1500
118;5;3;3;3000
119;1;2;3;3000
120;2;1;4;1500
121;2;3;6;600
122;1;2;6;600
123;3;2;4;1500
124;4;2;5;1500
125;4;3;6;600
126;4;5;3;3000
127;3;1;6;600
128;3;4;3;3000
129;1;2;4;1500
130;3;4;6;600
131;5;3;6;600
132;2;5;3;3000
133;5;3;3;3000
134;3;4;5;1500
135;1;2;3;3000
136;1;2;5;1500
137;4;3;5;1500
138;3;4;4;1500
139;5;4;4;1500
140;1;2;3;3000
141;4;1;5;1500
142;2;3;6;600
143;5;1;5;1500
144;5;1;3;3000
145;4;3;6;600
146;4;2;5;1500
147;4;2;6;600
148;4;1;6;600
149;1;2;5;1500
150;5;3;5;1500
151;4;2;5;1500
152;3;2;6;600
153;3;5;5;1500
154;2;1;6;600
155;2;3;6;600
156;3;2;5;1500
157;1;2;4;1500
158;1;2;3;3000
159;2;3;4;1500
160;3;5;6;600
161;4;1;6;600
162;1;2;6;600
163;2;1;6;600
164;2;4;4;1500
165;5;3;3;3000
166;2;4;6;600
167;1;2;5;1500
168;3;5;4;1500
169;3;5;4;1500
170;2;1;4;1500
171;4;2;5;1500
172;3;2;4;1500
173;2;4;3;3000
174;3;5;6;600
175;3;2;4;1500
176;1;2;5;1500
177;5;1;4;1500
178;5;4;3;3000
179;5;1;6;600
180;4;5;3;3000
181;5;3;4;1500
182;3;4;3;3000
183;4;3;6;600
184;3;4;4;1500
185;2;4;5;1500
186;1;2;4;1500
187;1;2;3;3000
188;1;2;5;1500
189;5;4;6;600
190;4;3;6;600
191;4;3;4;1500
192;4;5;6;600
193;4;3;3;3000
194;5;2;4;1500
195;1;2;4;1500
196;3;4;4;1500
197;1;2;4;1500
198;1;2;6;600
199;3;2;3;3000
200;4;1;6;600
201;2;4;4;1500
202;5;2;6;600
203;5;2;6;600
204;2;5;4;1500
205;1;2;5;1500
206;1;2;5;1500
207;5;1;5;1500
208;3;2;5;1500
209;4;2;6;600
210;4;1;5;1500
211;3;5;4;1500
212;4;3;5;1500
213;5;3;5;1500
214;4;2;4;1500
215;1;2;6;600
216;4;2;5;1500
217;2;4;4;1500
218;5;3;3;3000
219;4;3;3;3000
220;4;1;5;1500
221;3;1;6;600
222;1;2;3;3000
223;3;4;6;600
224;1;2;3;3000
225;1;2;5;1500
226;1;2;5;1500
227;3;2;4;1500
228;4;5;3;3000
229;4;5;3;3000
230;1;2;3;3000
231;5;1;3;3000
232;2;1;5;1500
233;2;3;5;1500
234;3;1;4;1500
235;5;2;5;1500
236;1;2;3;3000
237;4;5;4;1500
238;5;1;6;600
239;2;1;4;1500
240;2;1;5;1500
241;3;4;5;1500
242;3;4;4;1500
243;3;4;3;3000
244;3;5;6;600
245;2;3;5;1500
246;2;5;3;3000
247;1;2;3;3000
248;1;2;3;3000
249;4;3;4;1500
250;1;2;6;600
251;4;5;5;1500
252;1;2;6;600
253;4;5;6;600
254;3;1;5;1500
255;5;4;4;1500
256;3;5;6;600
257;2;3;6;600
258;5;2;4;1500
259;5;3;6;600
260;2;4;3;3000
261;2;5;5;1500
262;5;4;5;1500
263;3;2;4;1500
264;5;2;6;600
265;2;3;6;600
266;4;3;6;600
267;1;2;6;600
268;5;2;5;1500
269;4;3;4;1500
270;5;3;6;600
271;2;3;4;1500
272;3;4;3;3000
273;1;2;6;600
274;1;2;4;1500
275;3;5;3;3000
276;4;3;5;1500
277;5;1;6;600
278;3;4;3;3000
279;2;3;3;3000
280;5;1;3;3000
281;1;2;6;600
282;4;1;6;600
283;5;4;4;1500
284;2;4;5;1500
285;2;3;6;600
286;5;3;5;1500
287;3;2;6;600
288;2;1;3;3000
289;4;5;4;1500
290;1;2;5;1500
291;5;1;5;1500
292;2;4;3;3000
293;1;2;4;1500
294;4;2;4;1500
295;4;2;5;1500
296;5;3;5;1500
297;1;2;4;1500
298;3;4;5;1500
299;3;1;3;3000
300;5;1;6;600
301;4;1;5;1500
302;5;4;4;1500
303;2;4;3;3000
304;2;1;3;3000
305;2;1;3;3000
306;2;1;6;600
307;2;4;6;600
308;4;3;4;1500
309;5;1;4;1500
310;4;5;5;1500
311;4;2;3;3000
312;5;4;3;3000
313;2;1;3;3000
314;5;3;3;3000
315;1;2;3;3000
316;1;2;5;1500
317;3;1;5;1500
318;2;5;5;1500
319;3;2;5;1500
320;1;2;6;600
321;4;2;5;1500
322;2;5;3;3000
323;5;4;6;600
324;5;4;4;1500
325;2;4;3;3000
326;4;1;4;1500
327;2;3;5;1500
328;3;4;6;600
329;2;5;6;600
330;5;2;3;3000
331;1;2;3;3000
332;4;3;4;1500
333;5;2;4;1500
334;1;2;5;1500
335;4;5;6;600
336;4;5;6;600
337;3;5;3;3000
338;1;2;3;3000
339;2;5;3;3000
340;2;3;4;1500
341;2;3;6;600
342;3;5;6;600
343;5;1;4;1500
