index;source;destination;slots;max_length
1;5;1;4;1500
2;1;2;5;1500
3;4;1;4;1500
4;1;2;4;1500
5;3;1;4;1500
6;3;5;3;3000
7;5;2;5;1500
8;3;5;5;1500
9;4;2;6;600
10;5;4;3;3000
11;4;1;3;3000
12;4;5;5;1500
13;3;4;6;600
14;3;1;4;1500
15;3;4;6;600
16;1;2;4;1500
17;4;2;4;1500
18;5;1;5;1500
19;1;2;4;1500
20;1;2;6;600
21;4;3;6;600
22;5;4;3;3000
23;1;2;3;3000
24;1;2;4;1500
25;5;1;4;1500
26;5;2;4;1500
27;1;2;5;1500
28;3;2;4;1500
29;3;2;3;3000
30;4;2;4;1500
31;2;5;6;600
32;5;4;5;1500
33;2;1;4;1500
34;3;4;6;600
35;4;3;6;600
36;4;5;6;600
37;5;3;4;1500
38;5;1;4;1500
39;4;1;5;1500
40;5;2;4;1500
41;3;1;4;1500
42;5;2;5;1500
43;1;2;3;3000
44;3;4;6;600
45;4;3;3;3000
46;5;4;3;3000
47;2;3;4;1500
48;1;2;6;600
49;3;1;6;600
50;4;3;5;1500
51;1;2;6;600
52;1;2;6;600
53;3;1;6;600
54;3;2;4;1500
55;2;4;4;1500
56;4;2;4;1500
57;4;5;3;3000
58;4;5;3;3000
59;4;1;4;1500
60;2;3;5;1500
61;2;1;4;1500
62;3;4;6;600
63;3;4;6;600
64;2;1;6;600
65;3;2;5;1500
66;4;1;6;600
67;2;4;5;1500
68;3;5;6;600
69;4;2;5;1500
70;3;4;6;600
71;4;5;6;600
72;5;4;6;600
73;5;3;4;1500
74;4;5;4;1500
75;2;4;6;600
76;2;5;4;1500
77;1;2;4;1500
78;4;2;4;1500
79;2;4;5;1500
80;4;2;3;3000
81;4;2;3;3000
82;2;1;5;1500
83;1;2;4;1500
84;4;5;6;600
85;4;2;3;3000
86;3;1;6;600
87;4;1;5;1500
88;1;2;6;600
89;5;3;3;3000
90;2;4;3;3000
91;5;2;4;1500
92;4;2;6;600
93;1;2;4;1500
94;4;2;5;1500
95;3;1;6;600
96;1;2;5;1500
97;5;1;6;600
98;1;2;4;1500
99;4;2;4;1500
100;5;3;4;1500
101;1;2;5;1500
102;5;1;3;3000
103;4;1;4;1500
104;5;1;4;1500
105;3;5;4;1500
106;3;2;3;3000
107;5;1;3;3000
108;4;1;3;3000
109;5;1;5;1500
110;3;4;5;1500
111;3;1;3;3000
112;4;3;5;1500
113;1;2;3;3000
114;2;5;6;600
115;5;1;3;3000
116;5;4;6;600
117;5;3;4;1500
118;5;3;4;1500
119;5;1;6;600
120;2;4;6;600
121;3;5;3;3000
122;2;5;6;600
123;1;2;5;1500
124;5;2;4;1500
125;2;3;3;3000
126;3;5;5;1500
127;3;1;4;1500
128;5;2;4;1500
129;4;1;3;3000
130;4;2;5;1500
131;2;1;5;1500
132;5;3;5;1500
133;4;1;6;600
134;5;2;3;3000
