index;source;destination;slots;max_length
1;5;1;4;1500
2;1;2;5;1500
3;4;1;4;1500
4;1;2;4;1500
5;3;1;4;1500
6;3;5;3;3000
7;5;2;5;1500
8;3;5;5;1500
9;4;2;6;600
10;5;4;3;3000
11;4;1;3;3000
12;4;5;5;1500
13;3;4;6;600
14;3;1;4;1500
15;3;4;6;600
16;1;2;4;1500
17;4;2;4;1500
18;5;1;5;1500
19;1;2;4;1500
20;1;2;6;600
21;4;3;6;600
22;5;4;3;3000
23;1;2;3;3000
24;1;2;4;1500
25;5;1;4;1500
26;5;2;4;1500
27;1;2;5;1500
28;3;2;4;1500
29;3;2;3;3000
30;4;2;4;1500
31;2;5;6;600
32;5;4;5;1500
33;2;1;4;1500
34;3;4;6;600
35;4;3;6;600
36;4;5;6;600
37;5;3;4;1500
38;5;1;4;1500
39;4;1;5;1500
