 Index ; Origin ; Destination; Length ; Nbr slices ; Cost ;
1 ;  1;14;122.159607 ;160;1.000000;
2 ;  2;14;111.329292 ;160;1.000000;
3 ;  3;14;96.774292 ;160;1.000000;
4 ;  3;4;255.611343 ;160;1.000000;
5 ;  2;3;138.724533 ;160;1.000000;
6 ;  2;4;241.005264 ;160;1.000000;
7 ;  4;7;146.951416 ;160;1.000000;
8 ;  2;7;204.090317 ;160;1.000000;
9 ;  7;15;296.554230 ;160;1.000000;
10 ;  6;7;232.002731 ;160;1.000000;
11 ;  6;15;181.420456 ;160;1.000000;
12 ;  13;15;68.296913 ;160;1.000000;
13 ;  10;15;154.624985 ;160;1.000000;
14 ;  10;16;69.687424 ;160;1.000000;
15 ;  9;10;36.654961 ;160;1.000000;
16 ;  8;9;27.326780 ;160;1.000000;
17 ;  8;16;25.984850 ;160;1.000000;
18 ;  1;16;234.435425 ;160;1.000000;
19 ;  2;16;193.939056 ;160;1.000000;
20 ;  13;17;50.576870 ;160;1.000000;
21 ;  12;17;65.713341 ;160;1.000000;
22 ;  11;12;74.254402 ;160;1.000000;
23 ;  6;12;154.468155 ;160;1.000000;
24 ;  5;11;121.233299 ;160;1.000000;
25 ;  5;6;151.216354 ;160;1.000000;
