Max It: 500; Projection: 0; Warmstart: 0; AlternativeStop: 0; DirectionMethod: 0
Crowder;Carmerini;Lambda zero; It without Improv;UB;LB;Number of iterations;Stopping criterion; Total Time
0;0;0.5;5;74;63.754;500;Max It;308.231209
0.000000000;0.000000000;0.500000000;15;74.000000000;65.178162970;500;Max It;316.913117944
0.000000000;0.000000000;0.500000000;25;74.000000000;65.178162970;500;Max It;325.639055522
0.000000000;0.000000000;0.500000000;35;74.000000000;65.178162970;500;Max It;346.913759530
0.000000000;0.000000000;1.000000000;5;84.000000000;63.614643401;500;Max It;308.617504272
0.000000000;0.000000000;1.000000000;15;74.000000000;65.659772909;500;Max It;312.261233794
0.000000000;0.000000000;1.000000000;25;74.000000000;66.593865393;500;Max It;309.929509905
0.000000000;0.000000000;1.000000000;35;74.000000000;66.593865393;500;Max It;309.961520194
0.000000000;0.000000000;1.500000000;5;74.000000000;64.655089227;500;Max It;308.948628446
0.000000000;0.000000000;1.500000000;15;74.000000000;66.889591398;500;Max It;314.202862508
0.000000000;0.000000000;1.500000000;25;74.000000000;66.958102836;500;Max It;309.497842628
0.000000000;0.000000000;1.500000000;35;74.000000000;66.887342829;500;Max It;309.909229266
0.000000000;0.000000000;2.000000000;5;74.000000000;64.567413611;500;Max It;310.444638499
0.000000000;0.000000000;2.000000000;15;74.000000000;67.094250164;500;Max It;307.235291367
0.000000000;0.000000000;2.000000000;25;74.000000000;67.177338630;500;Max It;307.539557504
0.000000000;0.000000000;2.000000000;35;72.000000000;67.150453072;500;Max It;306.520235792
