Max It: 500; Projection: 0; Warmstart: 1; AlternativeStop: 0; DirectionMethod: 0
Crowder;Carmerini;Lambda zero; It without Improv;UB;LB;Number of iterations;Stopping criterion; Total Time
0;0;0.5;5;84;41;36;Small Step;136.638915
0.000000000;0.000000000;0.500000000;15;84.000000000;41.000000000;78;Small Step;300.560290103
0.000000000;0.000000000;0.500000000;25;84.000000000;41.000000000;149;Small Step;571.831485089
0.000000000;0.000000000;0.500000000;35;84.000000000;41.000000000;178;Small Step;685.656066351
0.000000000;0.000000000;1.000000000;5;84.000000000;41.000000000;68;Small Step;262.614823220
0.000000000;0.000000000;1.000000000;15;84.000000000;41.000000000;107;Small Step;413.273106671
0.000000000;0.000000000;1.000000000;25;84.000000000;41.000000000;179;Small Step;689.297900953
0.000000000;0.000000000;1.000000000;35;84.000000000;41.000000000;229;Small Step;876.628009274
0.000000000;0.000000000;1.500000000;5;84.000000000;41.000000000;87;Small Step;335.478585227
0.000000000;0.000000000;1.500000000;15;84.000000000;41.000000000;123;Small Step;475.825649156
