 Index ; Origin ; Destination; Length ; Nbr slices ; Cost ;
1 ;  1;14;122.159607 ;140;1.000000;
2 ;  2;14;111.329292 ;140;1.000000;
3 ;  3;14;96.774292 ;140;1.000000;
4 ;  3;4;255.611343 ;140;1.000000;
5 ;  2;3;138.724533 ;140;1.000000;
6 ;  2;4;241.005264 ;140;1.000000;
7 ;  4;7;146.951416 ;140;1.000000;
8 ;  2;7;204.090317 ;140;1.000000;
9 ;  7;15;296.554230 ;140;1.000000;
10 ;  6;7;232.002731 ;140;1.000000;
11 ;  6;15;181.420456 ;140;1.000000;
12 ;  13;15;68.296913 ;140;1.000000;
13 ;  10;15;154.624985 ;140;1.000000;
14 ;  10;16;69.687424 ;140;1.000000;
15 ;  9;10;36.654961 ;140;1.000000;
16 ;  8;9;27.326780 ;140;1.000000;
17 ;  8;16;25.984850 ;140;1.000000;
18 ;  1;16;234.435425 ;140;1.000000;
19 ;  2;16;193.939056 ;140;1.000000;
20 ;  13;17;50.576870 ;140;1.000000;
21 ;  12;17;65.713341 ;140;1.000000;
22 ;  11;12;74.254402 ;140;1.000000;
23 ;  6;12;154.468155 ;140;1.000000;
24 ;  5;11;121.233299 ;140;1.000000;
25 ;  5;6;151.216354 ;140;1.000000;
