index;origin;destination;slots;max_length
1;7;17;3;3000
2;12;16;3;3000
3;8;12;3;3000
4;3;10;3;3000
5;7;16;5;1500
6;7;12;3;3000
7;5;7;5;1500
8;4;6;3;3000
9;10;14;3;3000
10;7;13;3;3000
11;3;8;3;3000
12;4;14;3;3000
13;16;17;3;3000
14;10;12;6;600
15;6;10;3;3000
16;3;15;6;600
17;3;16;3;3000
18;5;15;6;600
19;7;14;3;3000
20;5;13;3;3000
21;14;16;3;3000
22;7;15;6;600
23;7;15;6;600
24;7;15;6;600
25;13;16;3;3000
26;8;13;3;3000
27;10;17;3;3000
28;2;10;5;1500
29;5;17;3;3000
30;11;15;3;3000
31;3;4;3;3000
32;6;13;3;3000
33;2;4;5;1500
34;6;7;6;600
35;15;16;6;600
36;10;13;3;3000
37;2;8;3;3000
38;6;17;3;3000
39;8;15;5;1500
40;2;7;5;1500
