index;source;destination;slots;max_length
1;3;5;3;3000
2;1;3;3;3000
3;5;2;3;3000
4;4;2;3;3000
5;5;3;3;3000
6;1;2;3;3000
7;4;2;3;3000
8;2;1;3;3000
9;1;2;3;3000
10;3;5;3;3000
11;1;3;3;3000
12;1;3;3;3000
13;1;2;3;3000
14;2;5;3;3000
15;1;3;3;3000
16;2;4;3;3000
17;4;1;3;3000
18;1;2;3;3000
19;5;1;3;3000
20;3;2;3;3000
21;5;1;3;3000
22;3;1;3;3000
23;3;1;3;3000
24;5;3;3;3000
25;3;5;3;3000
26;3;2;3;3000
27;1;2;3;3000
28;2;5;3;3000
29;1;5;3;3000
30;4;3;3;3000
31;2;1;3;3000
32;4;3;3;3000
33;3;4;3;3000
34;3;2;3;3000
35;5;1;3;3000
36;1;3;3;3000
37;3;2;3;3000
38;2;5;3;3000
39;5;1;3;3000
40;3;1;3;3000
41;1;3;3;3000
42;4;3;3;3000
43;4;1;3;3000
44;3;1;3;3000
45;1;2;3;3000
46;3;2;3;3000
47;3;2;3;3000
48;1;3;3;3000
49;4;3;3;3000
50;5;3;3;3000
51;2;4;3;3000
52;1;5;3;3000
53;2;4;3;3000
54;5;4;3;3000
55;4;2;3;3000
56;2;1;3;3000
57;5;4;3;3000
58;4;1;3;3000
59;3;4;3;3000
60;4;5;3;3000
61;1;3;3;3000
62;1;3;3;3000
63;5;1;3;3000
64;5;4;3;3000
65;2;3;3;3000
66;4;3;3;3000
67;2;4;3;3000
68;3;5;3;3000
69;3;1;3;3000
70;5;3;3;3000
71;4;1;3;3000
72;2;5;3;3000
73;5;4;3;3000
74;4;2;3;3000
75;2;1;3;3000
76;5;1;3;3000
77;2;3;3;3000
78;2;5;3;3000
79;5;2;3;3000
80;5;1;3;3000
81;2;4;3;3000
82;2;5;3;3000
83;3;5;3;3000
84;2;3;3;3000
85;2;4;3;3000
86;2;4;3;3000
87;2;1;3;3000
88;3;5;3;3000
89;2;1;3;3000
90;3;2;3;3000
91;2;5;3;3000
92;3;2;3;3000
93;2;4;3;3000
94;2;1;3;3000
95;3;4;3;3000
96;5;4;3;3000
97;5;2;3;3000
98;1;2;3;3000
99;2;3;3;3000
100;2;4;3;3000
101;2;4;3;3000
102;1;4;3;3000
103;4;3;3;3000
104;2;3;3;3000
105;3;4;3;3000
106;2;3;3;3000
107;4;5;3;3000
108;5;3;3;3000
109;5;3;3;3000
110;3;1;3;3000
111;5;1;3;3000
112;2;4;3;3000
113;2;5;3;3000
114;2;5;3;3000
115;5;1;3;3000
116;3;5;3;3000
117;5;1;3;3000
118;2;4;3;3000
119;5;4;3;3000
120;1;3;3;3000
121;1;3;3;3000
122;4;2;3;3000
123;3;5;3;3000
124;2;4;3;3000
125;5;1;3;3000
126;4;1;3;3000
127;1;3;3;3000
128;2;5;3;3000
129;5;2;3;3000
130;5;3;3;3000
131;4;2;3;3000
132;2;1;3;3000
133;5;2;3;3000
134;4;5;3;3000
135;4;1;3;3000
136;3;4;3;3000
137;3;4;3;3000
138;3;2;3;3000
139;5;1;3;3000
140;1;4;3;3000
141;2;5;3;3000
142;5;2;3;3000
143;5;3;3;3000
144;3;5;3;3000
145;2;3;3;3000
146;5;1;3;3000
147;3;2;3;3000
148;3;1;3;3000
149;2;3;3;3000
150;4;3;3;3000
151;4;5;3;3000
152;3;1;3;3000
153;3;1;3;3000
154;4;1;3;3000
155;1;3;3;3000
156;1;5;3;3000
157;1;2;3;3000
