Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 212.000000 | 212.00000 | 212.00000 | 1592.0 | 0.0000 | 2.000000 | NO          | 8.376750  | 
2     | 0        | 250.073283 | 250.07328 | 449.00000 | 1592.0 | 0.4923 | 2.000000 | NO          | 11.016685 | 
3     | 0        | 314.509442 | 314.50944 | 646.00000 | 1592.0 | 0.4034 | 2.000000 | NO          | 13.947250 | 
4     | 0        | 387.402417 | 387.40241 | 772.00000 | 1592.0 | 0.3896 | 2.000000 | NO          | 16.671472 | 
5     | 0        | 394.840946 | 394.84094 | 775.00000 | 1592.0 | 0.4399 | 2.000000 | NO          | 19.528132 | 
6     | 1        | 394.840946 | 357.80823 | 785.00000 | 1592.0 | 0.5892 | 2.000000 | NO          | 22.621819 | 
7     | 0        | 435.431967 | 435.43196 | 861.00000 | 1592.0 | 0.4437 | 2.000000 | NO          | 26.197203 | 
8     | 0        | 482.324501 | 482.32450 | 1080.0000 | 1592.0 | 0.7475 | 2.000000 | NO          | 29.103463 | 
9     | 0        | 523.126820 | 523.12682 | 928.00000 | 1592.0 | 0.7513 | 2.000000 | NO          | 31.961425 | 
10    | 1        | 523.126820 | 487.12172 | 1055.0000 | 1592.0 | 0.5609 | 2.000000 | NO          | 35.466820 | 
11    | 2        | 523.126820 | 502.80718 | 967.00000 | 1592.0 | 0.6858 | 2.000000 | NO          | 38.159676 | 
12    | 0        | 558.739548 | 558.73954 | 971.00000 | 1592.0 | 0.6898 | 2.000000 | NO          | 40.983991 | 
13    | 1        | 558.739548 | 453.03132 | 993.00000 | 1592.0 | 0.6500 | 2.000000 | NO          | 43.578194 | 
14    | 2        | 558.739548 | 458.03833 | 954.00000 | 1592.0 | 0.6247 | 2.000000 | NO          | 46.343898 | 
15    | 3        | 558.739548 | 513.84826 | 1012.0000 | 1592.0 | 0.6990 | 2.000000 | NO          | 49.143950 | 
16    | 4        | 558.739548 | 462.32051 | 1209.0000 | 1592.0 | 0.7072 | 2.000000 | NO          | 52.052221 | 
17    | 5        | 558.739548 | 531.92350 | 1126.0000 | 1592.0 | 0.5937 | 2.000000 | NO          | 54.660489 | 
18    | 6        | 558.739548 | 509.19452 | 1160.0000 | 1592.0 | 0.7493 | 2.000000 | NO          | 57.244302 | 
19    | 7        | 558.739548 | 476.64887 | 1050.0000 | 1592.0 | 0.6875 | 2.000000 | NO          | 60.298982 | 
20    | 8        | 558.739548 | 505.56533 | 1162.0000 | 1592.0 | 0.5337 | 2.000000 | NO          | 63.016091 | 
21    | 9        | 558.739548 | 471.40064 | 1026.0000 | 1592.0 | 0.7479 | 2.000000 | NO          | 65.797980 | 
22    | 10       | 558.739548 | 506.59208 | 1029.0000 | 1592.0 | 0.7166 | 2.000000 | NO          | 68.862156 | 
23    | 1        | 558.739548 | 547.37611 | 1128.0000 | 1592.0 | 0.2277 | 1.000000 | NO          | 72.203931 | 
24    | 0        | 613.540863 | 613.54086 | 1191.0000 | 1592.0 | 0.3266 | 1.000000 | NO          | 74.785361 | 
25    | 0        | 634.258165 | 634.25816 | 1037.0000 | 1592.0 | 0.3222 | 1.000000 | NO          | 77.347517 | 
26    | 0        | 663.605540 | 663.60554 | 1083.0000 | 1592.0 | 0.2695 | 1.000000 | NO          | 79.937644 | 
27    | 0        | 718.013598 | 718.01359 | 1254.0000 | 1592.0 | 0.3191 | 1.000000 | NO          | 82.692875 | 
28    | 0        | 733.433792 | 733.43379 | 1302.0000 | 1592.0 | 0.3100 | 1.000000 | NO          | 85.292752 | 
29    | 0        | 826.725501 | 826.72550 | 1240.0000 | 1592.0 | 0.1769 | 1.000000 | NO          | 87.828643 | 
30    | 1        | 826.725501 | 825.23004 | 987.00000 | 1508.0 | 0.2773 | 1.000000 | NO          | 91.504008 | 
31    | 0        | 852.981541 | 852.98154 | 1074.0000 | 1508.0 | 0.2424 | 1.000000 | NO          | 94.051961 | 
32    | 1        | 852.981541 | 847.60550 | 1201.0000 | 1508.0 | 0.2447 | 1.000000 | NO          | 96.667417 | 
33    | 0        | 900.060668 | 900.06066 | 1209.0000 | 1508.0 | 0.1926 | 1.000000 | NO          | 99.217280 | 
34    | 0        | 916.012314 | 916.01231 | 1110.0000 | 1508.0 | 0.2169 | 1.000000 | NO          | 102.07260 | 
