Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 0.000000   | 0.000000  | 0.000000  | 120.00 | 0.0000 | 2.000000 | NO          | 4.864397  | 
2     | 1        | 0.000000   | -778.8465 | 120.00000 | 120.00 | 0.0044 | 2.000000 | NO          | 6.599743  | 
3     | 2        | 0.000000   | -682.2903 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 8.272544  | 
4     | 3        | 0.000000   | -597.5863 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 9.943070  | 
5     | 4        | 0.000000   | -537.0637 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 11.631403 | 
6     | 5        | 0.000000   | -492.2592 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 13.337710 | 
7     | 6        | 0.000000   | -451.5639 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 15.012668 | 
8     | 7        | 0.000000   | -413.6390 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 16.724759 | 
9     | 8        | 0.000000   | -380.0675 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 18.462271 | 
10    | 9        | 0.000000   | -356.1929 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 20.173810 | 
11    | 10       | 0.000000   | -337.8175 | 120.00000 | 120.00 | 0.0000 | 2.000000 | NO          | 21.976061 | 
