Iter  | Wout Imp | Green It | Nb Yello | Nb Red I | LB         | Lagr Cost | Real Cost | Primal Co | UB     | Step   | Lambda   | Alpha    | Feasibility | Time      | 
1     | 0        | 1        | 0        | 0        | 0.000000   | 0.000000  | 0.000000  | 0.000000  | 59.000 | 0.0000 | 2.000000 | 0.100000 | NO          | 0.148121  | 
2     | 0        | 1        | 0        | 0        | 1.920218   | 1.920218  | 0.000000  | 0.192022  | 59.000 | 0.0005 | 2.000000 | 0.100000 | NO          | 0.150065  | 
3     | 0        | 1        | 0        | 0        | 3.770794   | 3.770794  | 0.000000  | 0.549899  | 59.000 | 0.0005 | 2.000000 | 0.100000 | NO          | 0.151930  | 
4     | 1        | 0        | 0        | 1        | 3.770794   | 0.226450  | 59.000000 | 0.517554  | 59.000 | 0.0004 | 2.000000 | 0.100000 | NO          | 0.153772  | 
5     | 2        | 0        | 0        | 2        | 3.770794   | -1.938081 | 59.000000 | -0.134153 | 59.000 | 0.0005 | 2.000000 | 0.100000 | NO          | 0.156246  | 
6     | 3        | 0        | 0        | 3        | 3.770794   | 3.691121  | 0.000000  | 1.074013  | 59.000 | 0.0014 | 2.000000 | 0.100000 | NO          | 0.297152  | 
7     | 4        | 0        | 0        | 4        | 3.770794   | -3.777111 | 0.000000  | 0.109483  | 59.000 | 0.0179 | 2.000000 | 0.100000 | NO          | 0.305937  | 
8     | 5        | 0        | 0        | 5        | 3.770794   | -12.14687 | 59.000000 | -1.786149 | 59.000 | 0.0349 | 2.000000 | 0.100000 | NO          | 0.313793  | 
9     | 6        | 0        | 0        | 6        | 3.770794   | -60.38883 | 59.000000 | -10.13157 | 59.000 | 0.0404 | 2.000000 | 0.100000 | NO          | 0.320542  | 
10    | 7        | 0        | 0        | 7        | 3.770794   | -2.250157 | 0.000000  | -9.539204 | 59.000 | 0.0214 | 2.000000 | 0.100000 | NO          | 0.325355  | 
11    | 8        | 0        | 0        | 8        | 3.770794   | -6.872064 | 0.000000  | -9.074084 | 59.000 | 0.0785 | 2.000000 | 0.100000 | NO          | 0.329345  | 
12    | 9        | 0        | 0        | 9        | 3.770794   | -66.81972 | 59.000000 | -16.53182 | 59.000 | 0.0467 | 2.000000 | 0.100000 | NO          | 0.332290  | 
13    | 10       | 0        | 0        | 10       | 3.770794   | -93.34036 | 59.000000 | -28.28385 | 59.000 | 0.0290 | 2.000000 | 0.100000 | NO          | 0.335186  | 
14    | 11       | 0        | 0        | 11       | 3.770794   | -1.321710 | 0.000000  | -25.94184 | 59.000 | 0.0160 | 2.000000 | 0.100000 | NO          | 0.337912  | 
15    | 12       | 0        | 0        | 12       | 3.770794   | -7.289032 | 0.000000  | -22.93700 | 59.000 | 0.1086 | 2.000000 | 0.100000 | NO          | 0.340674  | 
16    | 13       | 0        | 0        | 13       | 3.770794   | -100.8033 | 59.000000 | -32.51007 | 59.000 | 0.0537 | 2.000000 | 0.100000 | NO          | 0.343024  | 
17    | 14       | 0        | 0        | 14       | 3.770794   | -121.9036 | 59.000000 | -45.01069 | 59.000 | 0.0447 | 2.000000 | 0.100000 | NO          | 0.345262  | 
18    | 15       | 0        | 0        | 15       | 3.770794   | -1.554462 | 0.000000  | -35.47756 | 59.000 | 0.0156 | 2.000000 | 0.100000 | NO          | 0.347752  | 
19    | 16       | 0        | 0        | 16       | 3.770794   | -15.14695 | 0.000000  | -32.61539 | 59.000 | 0.2225 | 2.000000 | 0.100000 | NO          | 0.349958  | 
20    | 17       | 0        | 0        | 17       | 3.770794   | -36.16793 | 59.000000 | -33.14299 | 59.000 | 0.1218 | 2.000000 | 0.100000 | NO          | 0.352113  | 
21    | 18       | 0        | 0        | 18       | 3.770794   | -116.9406 | 59.000000 | -45.45213 | 59.000 | 0.0553 | 2.000000 | 0.100000 | NO          | 0.354302  | 
22    | 19       | 0        | 0        | 19       | 3.770794   | -1.385253 | 0.000000  | -36.73283 | 59.000 | 0.0225 | 2.000000 | 0.100000 | NO          | 0.356591  | 
23    | 20       | 0        | 0        | 20       | 3.770794   | -19.29036 | 0.000000  | -33.86184 | 59.000 | 0.4018 | 2.000000 | 0.100000 | NO          | 0.358845  | 
24    | 21       | 0        | 0        | 1        | 3.770794   | -52.83704 | 59.000000 | -36.18263 | 59.000 | 0.0702 | 1.340000 | 0.100000 | NO          | 0.360853  | 
25    | 22       | 0        | 0        | 2        | 3.770794   | -66.33710 | 59.000000 | -40.47959 | 59.000 | 0.0387 | 1.340000 | 0.100000 | NO          | 0.362806  | 
26    | 23       | 0        | 0        | 3        | 3.770794   | -1.009805 | 0.000000  | -38.69280 | 59.000 | 0.0142 | 1.340000 | 0.100000 | NO          | 0.364767  | 
27    | 24       | 0        | 0        | 4        | 3.770794   | -3.707687 | 0.000000  | -32.60478 | 59.000 | 0.0721 | 1.340000 | 0.100000 | NO          | 0.366915  | 
28    | 25       | 0        | 0        | 5        | 3.770794   | -74.71063 | 59.000000 | -38.18252 | 59.000 | 0.0544 | 1.340000 | 0.100000 | NO          | 0.368870  | 
29    | 26       | 0        | 0        | 6        | 3.770794   | -77.24520 | 59.000000 | -43.79521 | 59.000 | 0.0284 | 1.340000 | 0.100000 | NO          | 0.370775  | 
30    | 27       | 0        | 0        | 7        | 3.770794   | -0.590161 | 0.000000  | -41.81837 | 59.000 | 0.0107 | 1.340000 | 0.100000 | NO          | 0.379385  | 
31    | 28       | 0        | 0        | 8        | 3.770794   | -4.026465 | 0.000000  | -35.31807 | 59.000 | 0.0626 | 1.340000 | 0.100000 | NO          | 0.381655  | 
32    | 29       | 0        | 0        | 9        | 3.770794   | -53.75788 | 59.000000 | -37.23475 | 59.000 | 0.0231 | 1.340000 | 0.100000 | NO          | 0.383722  | 
33    | 30       | 0        | 0        | 10       | 3.770794   | -60.07961 | 59.000000 | -40.60710 | 59.000 | 0.0229 | 1.340000 | 0.100000 | NO          | 0.385727  | 
34    | 31       | 0        | 0        | 11       | 3.770794   | -0.213169 | 0.000000  | -38.87710 | 59.000 | 0.0108 | 1.340000 | 0.100000 | NO          | 0.387809  | 
35    | 32       | 0        | 0        | 12       | 3.770794   | -2.968619 | 0.000000  | -32.62414 | 59.000 | 0.0441 | 1.340000 | 0.100000 | NO          | 0.390290  | 
36    | 33       | 0        | 0        | 13       | 3.770794   | -24.10390 | 59.000000 | -31.68890 | 59.000 | 0.0471 | 1.340000 | 0.100000 | NO          | 0.392545  | 
37    | 34       | 0        | 0        | 14       | 3.770794   | -42.45755 | 59.000000 | -33.09619 | 59.000 | 0.0388 | 1.340000 | 0.100000 | NO          | 0.394558  | 
38    | 35       | 0        | 0        | 15       | 3.770794   | -0.401765 | 0.000000  | -31.46915 | 59.000 | 0.0127 | 1.340000 | 0.100000 | NO          | 0.396700  | 
39    | 36       | 0        | 0        | 16       | 3.770794   | -3.320587 | 0.000000  | -27.03942 | 59.000 | 0.0585 | 1.340000 | 0.100000 | NO          | 0.398795  | 
40    | 37       | 0        | 0        | 17       | 3.770794   | -77.71073 | 59.000000 | -30.21854 | 59.000 | 0.0283 | 1.340000 | 0.100000 | NO          | 0.401012  | 
41    | 38       | 0        | 0        | 18       | 3.770794   | -78.67114 | 59.000000 | -37.03279 | 59.000 | 0.0271 | 1.340000 | 0.100000 | NO          | 0.403149  | 
42    | 39       | 0        | 0        | 19       | 3.770794   | 0.164158  | 0.000000  | -36.79938 | 59.000 | 0.0094 | 1.340000 | 0.100000 | NO          | 0.405323  | 
43    | 40       | 0        | 0        | 20       | 3.770794   | -2.009494 | 0.000000  | -30.80165 | 59.000 | 0.0260 | 1.340000 | 0.100000 | NO          | 0.407551  | 
44    | 41       | 0        | 0        | 1        | 3.770794   | 3.240849  | 59.000000 | -26.11943 | 59.000 | 0.0201 | 0.897800 | 0.100000 | NO          | 0.409395  | 
45    | 42       | 0        | 0        | 2        | 3.770794   | -24.36655 | 59.000000 | -25.89126 | 59.000 | 0.0181 | 0.897800 | 0.100000 | NO          | 0.411278  | 
46    | 43       | 0        | 0        | 3        | 3.770794   | 0.985743  | 0.000000  | -25.62249 | 59.000 | 0.0061 | 0.897800 | 0.100000 | NO          | 0.413321  | 
47    | 44       | 0        | 0        | 4        | 3.770794   | -0.582896 | 0.000000  | -21.13655 | 59.000 | 0.0084 | 0.897800 | 0.100000 | NO          | 0.415380  | 
48    | 45       | 0        | 0        | 5        | 3.770794   | -1.294738 | 59.000000 | -18.85296 | 59.000 | 0.0155 | 0.897800 | 0.100000 | NO          | 0.417190  | 
49    | 46       | 0        | 0        | 6        | 3.770794   | -22.50204 | 59.000000 | -19.32940 | 59.000 | 0.0142 | 0.897800 | 0.100000 | NO          | 0.419065  | 
50    | 47       | 0        | 0        | 7        | 3.770794   | 1.214954  | 0.000000  | -19.12395 | 59.000 | 0.0050 | 0.897800 | 0.100000 | NO          | 0.421134  | 
51    | 48       | 0        | 0        | 8        | 3.770794   | -0.327024 | 0.000000  | -15.82953 | 59.000 | 0.0071 | 0.897800 | 0.100000 | NO          | 0.423248  | 
52    | 49       | 0        | 0        | 9        | 3.770794   | 2.899672  | 59.000000 | -13.64501 | 59.000 | 0.0141 | 0.897800 | 0.100000 | NO          | 0.425149  | 
53    | 50       | 0        | 0        | 10       | 3.770794   | -18.66237 | 59.000000 | -14.26918 | 59.000 | 0.0146 | 0.897800 | 0.100000 | NO          | 0.426927  | 
54    | 51       | 0        | 0        | 11       | 3.770794   | 1.507146  | 0.000000  | -14.11142 | 59.000 | 0.0045 | 0.897800 | 0.100000 | NO          | 0.428946  | 
55    | 52       | 0        | 0        | 12       | 3.770794   | -0.458395 | 0.000000  | -11.85882 | 59.000 | 0.0074 | 0.897800 | 0.100000 | NO          | 0.431006  | 
56    | 0        | 0        | 1        | 0        | 4.276489   | 4.276489  | 0.000000  | -9.000834 | 59.000 | 0.0114 | 0.897800 | 0.100000 | NO          | 0.433039  | 
57    | 1        | 0        | 0        | 1        | 4.276489   | -22.81624 | 59.000000 | -10.55981 | 59.000 | 0.0108 | 0.897800 | 0.100000 | NO          | 0.434878  | 
58    | 2        | 0        | 0        | 2        | 4.276489   | -35.54558 | 59.000000 | -14.17168 | 59.000 | 0.0079 | 0.897800 | 0.100000 | NO          | 0.436543  | 
59    | 3        | 0        | 0        | 3        | 4.276489   | 2.510810  | 0.000000  | -13.63319 | 59.000 | 0.0031 | 0.897800 | 0.100000 | NO          | 0.438506  | 
60    | 4        | 0        | 0        | 4        | 4.276489   | -0.027118 | 0.000000  | -11.31495 | 48.000 | 0.0109 | 0.897800 | 0.100000 | NO          | 0.447381  | 
61    | 5        | 0        | 0        | 5        | 4.276489   | -0.702416 | 59.000000 | -9.939901 | 48.000 | 0.0141 | 0.897800 | 0.100000 | NO          | 0.449943  | 
62    | 6        | 0        | 0        | 6        | 4.276489   | -20.44653 | 59.000000 | -11.29367 | 48.000 | 0.0136 | 0.897800 | 0.100000 | NO          | 0.452639  | 
63    | 7        | 0        | 0        | 7        | 4.276489   | 1.738645  | 0.000000  | -11.16334 | 48.000 | 0.0044 | 0.897800 | 0.100000 | NO          | 0.455927  | 
64    | 8        | 0        | 0        | 8        | 4.276489   | -0.614346 | 0.000000  | -9.403127 | 48.000 | 0.0082 | 0.897800 | 0.100000 | NO          | 0.458371  | 
65    | 0        | 0        | 1        | 0        | 6.815078   | 6.815078  | 0.000000  | -7.449311 | 48.000 | 0.0092 | 0.897800 | 0.100000 | NO          | 0.460676  | 
66    | 1        | 0        | 0        | 1        | 6.815078   | -3.925822 | 59.000000 | -7.152748 | 48.000 | 0.0051 | 0.897800 | 0.100000 | NO          | 0.462617  | 
67    | 2        | 0        | 0        | 2        | 6.815078   | -11.57053 | 59.000000 | -7.746790 | 48.000 | 0.0049 | 0.897800 | 0.100000 | NO          | 0.464366  | 
68    | 3        | 0        | 0        | 3        | 6.815078   | 5.437988  | 0.000000  | -7.614942 | 48.000 | 0.0018 | 0.897800 | 0.100000 | NO          | 0.466494  | 
69    | 4        | 0        | 0        | 4        | 6.815078   | 3.851699  | 0.000000  | -4.908270 | 48.000 | 0.0031 | 0.897800 | 0.100000 | NO          | 0.468626  | 
70    | 5        | 0        | 0        | 5        | 6.815078   | 6.089730  | 59.000000 | -3.950988 | 48.000 | 0.0055 | 0.897800 | 0.100000 | NO          | 0.470510  | 
71    | 6        | 0        | 0        | 6        | 6.815078   | -4.247984 | 59.000000 | -3.986882 | 48.000 | 0.0059 | 0.897800 | 0.100000 | NO          | 0.472239  | 
72    | 7        | 0        | 0        | 7        | 6.815078   | 5.621884  | 0.000000  | -3.890795 | 48.000 | 0.0016 | 0.897800 | 0.100000 | NO          | 0.474378  | 
73    | 8        | 0        | 0        | 8        | 6.815078   | 4.738307  | 0.000000  | -1.405599 | 48.000 | 0.0023 | 0.897800 | 0.100000 | NO          | 0.476487  | 
74    | 9        | 0        | 0        | 9        | 6.815078   | 2.677406  | 59.000000 | -1.066728 | 48.000 | 0.0031 | 0.897800 | 0.100000 | NO          | 0.478208  | 
75    | 10       | 0        | 0        | 10       | 6.815078   | -0.967634 | 59.000000 | -1.053870 | 48.000 | 0.0032 | 0.897800 | 0.100000 | NO          | 0.479901  | 
76    | 11       | 0        | 0        | 11       | 6.815078   | 5.596265  | 0.000000  | -0.987369 | 48.000 | 0.0014 | 0.897800 | 0.100000 | NO          | 0.481905  | 
77    | 12       | 0        | 0        | 12       | 6.815078   | 5.193676  | 0.000000  | 0.270415  | 48.000 | 0.0017 | 0.897800 | 0.100000 | NO          | 0.483831  | 
78    | 0        | 1        | 0        | 0        | 8.240554   | 8.240554  | 0.000000  | 1.067429  | 48.000 | 0.0025 | 0.897800 | 0.100000 | NO          | 0.485669  | 
79    | 0        | 1        | 0        | 0        | 8.931926   | 8.931926  | 0.000000  | 1.853879  | 48.000 | 0.0016 | 0.987580 | 0.100000 | NO          | 0.487508  | 
80    | 0        | 1        | 0        | 0        | 9.525407   | 9.525407  | 0.000000  | 2.621032  | 48.000 | 0.0012 | 1.086338 | 0.100000 | NO          | 0.489288  | 
81    | 1        | 0        | 0        | 1        | 9.525407   | 6.565532  | 59.000000 | 2.849266  | 48.000 | 0.0006 | 1.194972 | 0.100000 | NO          | 0.490935  | 
82    | 2        | 0        | 0        | 2        | 9.525407   | 6.067458  | 59.000000 | 3.292995  | 48.000 | 0.0007 | 1.194972 | 0.100000 | NO          | 0.492562  | 
83    | 3        | 0        | 0        | 3        | 9.525407   | 8.967416  | 0.000000  | 3.349739  | 48.000 | 0.0003 | 1.194972 | 0.100000 | NO          | 0.494212  | 
84    | 4        | 0        | 0        | 4        | 9.525407   | 8.991581  | 0.000000  | 5.202605  | 48.000 | 0.0002 | 1.194972 | 0.100000 | NO          | 0.495831  | 
85    | 0        | 1        | 0        | 0        | 9.876106   | 9.876106  | 0.000000  | 5.617733  | 48.000 | 0.0008 | 1.194972 | 0.100000 | NO          | 0.497584  | 
86    | 0        | 1        | 0        | 0        | 10.021828  | 10.021828 | 0.000000  | 5.764200  | 48.000 | 0.0002 | 1.314469 | 0.100000 | NO          | 0.499538  | 
87    | 0        | 1        | 0        | 0        | 10.421623  | 10.421623 | 0.000000  | 6.133919  | 48.000 | 0.0011 | 1.445916 | 0.100000 | NO          | 0.501418  | 
88    | 0        | 1        | 0        | 0        | 11.114568  | 11.114568 | 0.000000  | 6.316578  | 48.000 | 0.0014 | 1.590507 | 0.100000 | NO          | 0.503206  | 
89    | 1        | 0        | 0        | 1        | 11.114568  | 7.012525  | 59.000000 | 6.366130  | 48.000 | 0.0017 | 1.749558 | 0.100000 | NO          | 0.504923  | 
90    | 2        | 0        | 0        | 2        | 11.114568  | 1.006573  | 59.000000 | 5.699423  | 47.000 | 0.0027 | 1.749558 | 0.100000 | NO          | 0.512935  | 
91    | 3        | 0        | 0        | 3        | 11.114568  | 9.311052  | 0.000000  | 5.735539  | 47.000 | 0.0008 | 1.749558 | 0.100000 | NO          | 0.514904  | 
92    | 4        | 0        | 0        | 4        | 11.114568  | 9.073354  | 0.000000  | 6.862155  | 47.000 | 0.0008 | 1.749558 | 0.100000 | NO          | 0.517183  | 
93    | 5        | 0        | 0        | 5        | 11.114568  | 9.275922  | 59.000000 | 7.051669  | 47.000 | 0.0034 | 1.749558 | 0.100000 | NO          | 0.520071  | 
94    | 6        | 0        | 0        | 6        | 11.114568  | 5.007575  | 59.000000 | 6.824175  | 47.000 | 0.0037 | 1.749558 | 0.100000 | NO          | 0.522130  | 
95    | 7        | 0        | 0        | 7        | 11.114568  | 9.502629  | 0.000000  | 6.850959  | 47.000 | 0.0008 | 1.749558 | 0.100000 | NO          | 0.524073  | 
96    | 8        | 0        | 0        | 8        | 11.114568  | 9.445527  | 0.000000  | 7.705864  | 47.000 | 0.0007 | 1.749558 | 0.100000 | NO          | 0.525910  | 
